,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,hei_code
91,Languages,Arts International - 4 years,CK108,401.0,,,,401.0,,466.0,8,University College Cork (NUI),,,,,,,,,,,,CK
92,Languages,English - 3 years or 4 years (International Pathway),CK109,318.0,,,,318.0,,441.0,8,University College Cork (NUI),,,,,,,,,,,,CK
93,Languages,World Languages,CK110,452.0,,433.0,,410.0,,506.0,8,University College Cork (NUI),,,,,,,,,,,,CK
94,Welfare,Early Years and Childhood Studies,CK111,419.0,,,,419.0,,451.0,8,University College Cork (NUI),,,,,,,,,,,,CK
95,Arts,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,330.0,,,,330.0,,434.0,8,University College Cork (NUI),#,,,,,,,,,,,CK
96,Social and behavioural sciences,Criminology - 3 years or 4 years (International Pathway),CK113,423.0,,,,423.0,,463.0,8,University College Cork (NUI),,,,,,,,,,,,CK
97,Welfare,Social Science (Youth and Community Work) - 3 years,CK114,,,,,777.0,,,8,University College Cork (NUI),#,,,,,,,,,,,CK
98,Welfare,Social Work - Mature Applicants only,CK115,,,,,999.0,,,8,University College Cork (NUI),,,,,,,,,,,,CK
99,Arts,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,336.0,,,,336.0,,378.0,8,University College Cork (NUI),,,,,,,,,,,,CK
100,Social and behavioural sciences,Applied Psychology,CK120,533.0,*,532.0,*,531.0,*,555.0,8,University College Cork (NUI),,,,,,,,,,,,CK
101,Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,466.0,,,,466.0,,496.0,8,University College Cork (NUI),,,,,,,,,,,,CK
102,Social and behavioural sciences,Government and Political Science,CK122,337.0,,328.0,,326.0,,403.0,8,University College Cork (NUI),,,,,,,,,,,,CK
103,Humanities (except languages),Anthropology,CK123,308.0,,,,308.0,,410.0,8,University College Cork (NUI),,,,,,,,,,,,CK
