,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,hei_code
722,Personal services,Sports Development and Coaching,LC228,205.0,,,,205.0,,341.0,6,Limerick Institute of Technology,,,,,,,,,,,,LC
723,Information and Communication Technologies (ICTs),Business with Computing,LC230,217.0,,,,217.0,,386.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
724,Information and Communication Technologies (ICTs),Software Development,LC233,272.0,,,,272.0,,339.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
725,Information and Communication Technologies (ICTs),Interactive Digital Media,LC234,225.0,,,,225.0,,307.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
726,Information and Communication Technologies (ICTs),Internet Systems Development,LC235,205.0,,,,205.0,,315.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
727,Information and Communication Technologies (ICTs),Internet Systems Development,LC236,262.0,,260.0,,260.0,,272.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
728,Information and Communication Technologies (ICTs),Computer Networks and Systems Management,LC239,307.0,,,,309.0,,371.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
729,Architecture and construction,Construction Management,LC241,255.0,,,,255.0,,338.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
730,Architecture and construction,Property Valuation and Management,LC242,282.0,,,,282.0,,320.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
731,Architecture and construction,Quantity Surveying,LC243,294.0,,,,298.0,,362.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
732,Architecture and construction,Built Environment (Common Entry),LC248,288.0,,,,288.0,,376.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
733,Architecture and construction,Civil Engineering,LC251,206.0,,,,206.0,,377.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
734,Architecture and construction,Civil Engineering Management,LC252,270.0,,,,270.0,,308.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
735,Arts,Interior Design,LC257,264.0,,,,264.0,,378.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
736,Biological and related sciences,Applied Biology,LC260,326.0,,,,326.0,,466.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
737,Health,Clinical Technology,LC263,294.0,,,,294.0,,359.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
738,Physical sciences,Forensic and Pharmaceutical Sciences,LC265,413.0,,,,413.0,,476.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
739,Environment,Drug and Medicinal Product Analysis,LC266,262.0,,,,262.0,,300.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
740,Physical sciences,Forensic and Pharmaceutical Sciences,LC267,329.0,,,,329.0,,443.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
741,Health,Medical Technology,LC268,289.0,,,,289.0,,411.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
742,Arts,Music Technology and Production,LC270,307.0,,,,307.0,,398.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
743,Engineering and engineering trades,Electrical Engineering,LC271,261.0,,,,261.0,,348.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
744,Engineering and engineering trades,Electrical Engineering,LC275,298.0,,,,298.0,,384.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
745,Arts,Creative Broadcast and Film Production,LC276,297.0,,,,297.0,,409.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
746,Engineering and engineering trades,Industrial Automation and Robotic Systems,LC277,232.0,,,,232.0,,342.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
747,Engineering and engineering trades,Renewable and Electrical Energy Engineering,LC278,280.0,,,,280.0,,387.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
748,Engineering and engineering trades,Electronic Engineering,LC279,214.0,,,,226.0,,392.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
749,Engineering and engineering trades,Automobile Technology,LC281,208.0,,,,208.0,,332.0,6,Limerick Institute of Technology,,,,,,,,,,,,LC
750,Engineering and engineering trades,Precision Engineering,LC283,227.0,,,,233.0,,296.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
751,Engineering and engineering trades,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",LC284,200.0,,,,200.0,,315.0,6,Limerick Institute of Technology,,,,,,,,,,,,LC
752,Engineering and engineering trades,Mechanical Engineering,LC285,272.0,,,,272.0,,455.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
753,Engineering and engineering trades,Road Transport Technology and Management,LC286,264.0,,,,264.0,,360.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
754,Engineering and engineering trades,Mechanical Engineering,LC288,347.0,,346.0,,346.0,,415.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
755,Engineering and engineering trades,Precision Engineering,LC289,291.0,,,,291.0,,350.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
756,Personal services,Community Sport Development,LC290,188.0,,,,188.0,,312.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
757,Welfare,Social Care Work,LC292,367.0,,,,367.0,,389.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
758,Personal services,Business Studies with Travel and Tourism Management,LC293,307.0,,,,307.0,,356.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
759,Personal services,Business Studies with Event Management,LC294,279.0,,,,279.0,,347.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
760,Business and administration,Business Studies with Sports Management,LC295,252.0,,,,252.0,,313.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
761,Social and behavioural sciences,Community Development,LC297,235.0,,,,235.0,,298.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
762,Business and administration,Business,LC320,346.0,,,,346.0,,388.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
763,Information and Communication Technologies (ICTs),Business with Computing,LC330,297.0,,,,297.0,,378.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
764,Information and Communication Technologies (ICTs),Computing,LC336,207.0,,,,222.0,,337.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
765,Arts,Interior Design,LC340,350.0,,,,350.0,,391.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
766,Biological and related sciences,Biotechnology and Biopharmaceutical Sciences,LC362,413.0,,,,413.0,,440.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
767,Arts,Creative Broadcast and Film Production,LC371,309.0,,,,309.0,,378.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
768,Arts,Music Technology and Production,LC372,325.0,,,,325.0,,402.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
769,Engineering and engineering trades,Renewable and Electrical Energy Engineering,LC374,318.0,,,,318.0,,410.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
770,Engineering and engineering trades,Industrial Automation and Robotic Systems,LC375,317.0,,,,317.0,,392.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
771,Engineering and engineering trades,Electronic Engineering,LC376,318.0,,,,318.0,,358.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
772,Transport services,Automotive Engineering and Transport Management,LC380,303.0,,298.0,,298.0,,337.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
773,Personal services,Business Studies in Beauty and Spa Management,LC392,236.0,,,,236.0,,328.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
774,Welfare,Early Childhood Education and Care,LC393,236.0,,,,236.0,,307.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
775,Personal services,Culinary Arts,LC398,163.0,,,,163.0,,376.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
776,Personal services,Hospitality Supervision,LC399,148.0,,,,148.0,,300.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
777,Welfare,Early Childhood Education and Care,LC401,297.0,,,,297.0,,298.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
778,Welfare,Social Care Work,LC402,225.0,,,,225.0,,288.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
779,Environment,Environmental Science and Climate,LC408,279.0,,,,279.0,,348.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
780,Information and Communication Technologies (ICTs),Data Analytics and Cyber Security,LC414,236.0,,,,236.0,,336.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
781,Business and administration,Business,LC415,197.0,,,,197.0,,444.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
782,Business and administration,Business,LC416,274.0,,,,274.0,,391.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
783,Information and Communication Technologies (ICTs),Computing - Games Design and Development,LC418,270.0,,,,270.0,,338.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
784,Personal services,Sports Strength and Conditioning,LC422,298.0,,,,298.0,,347.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
785,Personal services,Sports Strength and Conditioning,LC423,157.0,,,,157.0,,330.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
786,Environment,Environmental Science,LC425,278.0,,,,278.0,,399.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
787,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Environmental Science and Agriculture,LC428,278.0,,,,278.0,,429.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
788,Welfare,Early Childhood Education and Care,LC432,144.0,,,,144.0,,367.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
789,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Environmental Science and Agriculture,LC434,297.0,,,,297.0,,349.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
790,Information and Communication Technologies (ICTs),Game Art and Design (portfolio),LC502,852.0,,,,852.0,,1024.0,8,Limerick Institute of Technology,#,,,,,,,,,,,LC
791,Information and Communication Technologies (ICTs),Creative Media and Design,LC504,192.0,,,,192.0,,378.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
792,Information and Communication Technologies (ICTs),Creative Media and Design,LC517,234.0,,,,234.0,,327.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
793,Information and Communication Technologies (ICTs),Digital Animation Production (portfolio),LC518,808.0,,,,808.0,,939.0,8,Limerick Institute of Technology,#,,,,,,,,,,,LC
794,Welfare,Social Care Work,LC602,260.0,,,,260.0,,370.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
795,Welfare,Early Childhood Education and Care,LC603,147.0,,,,174.0,,327.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
796,Business and administration,Business,LC605,195.0,,,,195.0,,418.0,7,Limerick Institute of Technology,,,,,,,,,,,,LC
797,Welfare,Social Care Work,LC612,320.0,,,,320.0,,343.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
798,Welfare,Early Childhood Education and Care,LC613,242.0,,,,242.0,,327.0,8,Limerick Institute of Technology,,,,,,,,,,,,LC
799,Humanities (except languages),Arts,LM002,348.0,,,,348.0,,410.0,8,University of Limerick,,,,,,,,,,,,LM
800,Law,Law and Accounting,LM020,465.0,,,,465.0,,499.0,8,University of Limerick,,,,,,,,,,,,LM
801,Arts,Performing Arts (audition required),LM026,303.0,,,,303.0,,401.0,8,University of Limerick,#,,,,,,,,,,,LM
802,Law,Criminal Justice,LM028,418.0,,,,418.0,,440.0,8,University of Limerick,,,,,,,,,,,,LM
803,Law,Law Plus,LM029,490.0,,,,490.0,,521.0,8,University of Limerick,,,,,,,,,,,,LM
804,Social and behavioural sciences,Psychology and Sociology,LM038,500.0,,,,500.0,,507.0,8,University of Limerick,,,,,,,,,,,,LM
805,Journalism and information,Journalism and Digital Communication,LM039,402.0,,,,402.0,,455.0,8,University of Limerick,,,,,,,,,,,,LM
806,Humanities (except languages),European Studies,LM040,369.0,,,,369.0,,488.0,8,University of Limerick,,,,,,,,,,,,LM
807,Languages,Applied Languages,LM044,442.0,,,,442.0,,499.0,8,University of Limerick,,,,,,,,,,,,LM
808,Business and administration,Business Studies (options),LM050,431.0,,,,431.0,,476.0,8,University of Limerick,,,,,,,,,,,,LM
809,Business and administration,International Business,LM056,528.0,,,,528.0,,555.0,8,University of Limerick,,,,,,,,,,,,LM
810,Mathematics and statistics,Financial Mathematics,LM058,403.0,,,,403.0,,521.0,8,University of Limerick,,,,,,,,,,,,LM
811,Information and Communication Technologies (ICTs),Technology Management,LM063,379.0,,,,379.0,,419.0,8,University of Limerick,,,,,,,,,,,,LM
812,Manufacturing and processing,Food Science and Health,LM068,421.0,,,,421.0,,454.0,8,University of Limerick,,,,,,,,,,,,LM
813,Manufacturing and processing,Product Design and Technology (portfolio required),LM076,408.0,,,,408.0,,487.0,8,University of Limerick,#,,,,,,,,,,,LM
814,Engineering and engineering trades,Aeronautical Engineering,LM077,520.0,,,,520.0,,554.0,8,University of Limerick,,,,,,,,,,,,LM
815,Manufacturing and processing,Construction Management and Engineering,LM082,398.0,,,,398.0,,434.0,8,University of Limerick,,,,,,,,,,,,LM
816,Personal services,Sport and Exercise Sciences,LM089,474.0,,,,474.0,,489.0,8,University of Limerick,,,,,,,,,,,,LM
817,Education,Physical Education with concurrent Teacher Education,LM090,532.0,*,,,532.0,*,565.0,8,University of Limerick,,,,,,,,,,,,LM
818,Education,Languages with concurrent Teacher Education,LM091,517.0,,,,517.0,,543.0,8,University of Limerick,,,,,,,,,,,,LM
819,Education,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM092,507.0,,,,507.0,,531.0,8,University of Limerick,,,,,,,,,,,,LM
820,Biological and related sciences,Equine Science,LM093,339.0,,,,339.0,,412.0,8,University of Limerick,,,,,,,,,,,,LM
821,Education,Materials and Architectural Technology with concurrent Teacher Education,LM094,440.0,,,,440.0,,478.0,8,University of Limerick,,,,,,,,,,,,LM
822,Education,Materials and Engineering Technology with concurrent Teacher Education,LM095,367.0,,,,367.0,,421.0,8,University of Limerick,,,,,,,,,,,,LM
823,Education,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM096,405.0,,,,405.0,,454.0,8,University of Limerick,,,,,,,,,,,,LM
824,Mathematics and statistics,Mathematics and Computer Science with concurrent Teacher Education,LM097,402.0,,,,402.0,,509.0,8,University of Limerick,,,,,,,,,,,,LM
825,Architecture and construction,Architecture (portfolio requirement suspended),LM099,498.0,,,,498.0,,532.0,8,University of Limerick,#,,,,,,,,,,,LM
826,Health,Physiotherapy,LM100,589.0,*,,,589.0,*,601.0,8,University of Limerick,,,,,,,,,,,,LM
827,Health,Medicine  - Graduate Entry (GAMSAT required),LM101,55.0,*,,,55.0,*,57.0,8,University of Limerick,#,,,,,,,,,,,LM
828,Social and behavioural sciences,Psychology,LM102,509.0,,,,509.0,,529.0,8,University of Limerick,,,,,,,,,,,,LM
829,Health,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),LM103,392.0,,,,392.0,,445.0,8,University of Limerick,#,,,,,,,,,,,LM
830,Physical sciences,Chemical and Biochemical Engineering,LM115,454.0,,,,454.0,,532.0,8,University of Limerick,,,,,,,,,,,,LM
831,Engineering and engineering trades,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM116,476.0,*,,,476.0,*,521.0,8,University of Limerick,,,,,,,,,,,,LM
832,Engineering and engineering trades,Electronic and Computer Engineering,LM118,403.0,,,,403.0,,489.0,8,University of Limerick,,,,,,,,,,,,LM
833,Information and Communication Technologies (ICTs),Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM121,351.0,,,,351.0,,423.0,8,University of Limerick,,,,,,,,,,,,LM
834,Information and Communication Technologies (ICTs),Creative Media and Interaction Design (Digital Design/Music Media Tech),LM122,327.0,,,,327.0,,401.0,8,University of Limerick,,,,,,,,,,,,LM
835,Biological and related sciences,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),LM123,441.0,*,,,441.0,*,478.0,8,University of Limerick,,,,,,,,,,,,LM
836,Mathematics and statistics,Mathematics (Math Science/Maths and Physics/Economics and Maths),LM124,437.0,,,,437.0,,509.0,8,University of Limerick,,,,,,,,,,,,LM
837,Physical sciences,Physics (Applied Physics or Mathematics & Physics),LM125,404.0,,,,404.0,,520.0,8,University of Limerick,,,,,,,,,,,,LM
838,Health,General Nursing,LM150,475.0,*,,,475.0,*,498.0,8,University of Limerick,,,,,,,,,,,,LM
839,Health,Mental Health Nursing,LM152,419.0,*,,,419.0,*,430.0,8,University of Limerick,,,,,,,,,,,,LM
840,Health,Intellectual Disability Nursing,LM154,420.0,,,,440.0,,473.0,8,University of Limerick,,,,,,,,,,,,LM
841,Health,Midwifery,LM156,469.0,,,,469.0,,499.0,8,University of Limerick,,,,,,,,,,,,LM
842,Biological and related sciences,Equine Science,LM180,337.0,,,,328.0,,440.0,6,University of Limerick,,,,,,,,,,,,LM
843,Business and administration,Business - Common Entry,LY107,161.0,,161.0,,161.0,,358.0,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
844,Business and administration,Business - Accounting,LY108,309.0,,,,309.0,,431.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
845,Business and administration,Business,LY118,290.0,,,,290.0,,377.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
846,Personal services,Sports Studies,LY206,149.0,,148.0,,148.0,,299.0,6,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
847,Law,Law with Criminal Justice,LY207,160.0,,160.0,,160.0,,377.0,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
848,Law,Law,LY208,300.0,,,,300.0,,367.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
849,Personal services,Sports and Exercise - Common Entry,LY228,300.0,,,,300.0,,367.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
850,Personal services,Culinary Arts,LY317,229.0,,224.0,,224.0,,387.0,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
851,Personal services,Hospitality And Tourism - Common Entry,LY327,170.0,,170.0,,170.0,,317.0,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
852,Arts,Design - Common Entry,LY408,320.0,,,,320.0,,381.0,8,Letterkenny Institute of Technology,#,,,,,,,,,,,LY
853,Arts,Digital Film and Video,LY427,172.0,,170.0,,172.0,,307.0,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
854,Arts,Animation,LY437,198.0,,223.0,,198.0,,387.0,7,Letterkenny Institute of Technology,#,avp,,,,,,,,,,LY
855,Arts,Fashion with Promotion,LY447,266.0,,279.0,,266.0,,384.0,7,Letterkenny Institute of Technology,#,avp,,,,,,,,,,LY
856,Arts,Graphic and Digital Design,LY457,179.0,,204.0,,189.0,,356.0,7,Letterkenny Institute of Technology,#,avp,v,,,,,,,,,LY
857,Architecture and construction,Quantity Surveying,LY507,181.0,,181.0,,181.0,,312.0,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
858,Architecture and construction,Fire Safety Engineering,LY508,276.0,,,,276.0,,326.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
859,Architecture and construction,Quantity Surveying,LY518,301.0,,,,301.0,,368.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
860,Architecture and construction,Civil Engineering,LY527,165.0,,163.0,,163.0,,329.0,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
861,Architecture and construction,Construction Management,LY528,271.0,,,,271.0,,321.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
862,Engineering and engineering trades,Electronic Engineering,LY607,160.0,,,,160.0,,389.0,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
863,Engineering and engineering trades,Mechanical Engineering,LY608,300.0,,,,300.0,,379.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
864,Engineering and engineering trades,Mechanical Engineering,LY617,180.0,,180.0,,180.0,,328.0,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
865,Engineering and engineering trades,Electronic Engineering,LY618,312.0,,,,312.0,,402.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
866,Information and Communication Technologies (ICTs),Computer Games Development,LY707,204.0,,,,204.0,,299.0,7,Letterkenny Institute of Technology,,,,,,,,,,,,LY
867,Information and Communication Technologies (ICTs),Applied Computing,LY708,306.0,,,,306.0,,372.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
868,Information and Communication Technologies (ICTs),Computing,LY717,164.0,,160.0,,160.0,,350.0,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
869,Information and Communication Technologies (ICTs),Computer Security and Digital Forensics,LY737,169.0,,169.0,,169.0,,348.0,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
870,Information and Communication Technologies (ICTs),Computer Science,LY748,317.0,,317.0,,317.0,,420.0,8,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
871,Health,Pharmacy Technician,LY806,232.0,,,,232.0,,377.0,6,Letterkenny Institute of Technology,,,,,,,,,,,,LY
872,Health,Dental Nursing,LY816,233.0,,223.0,,223.0,,326.0,6,Letterkenny Institute of Technology,,,,,,,,,,,,LY
873,Biological and related sciences,Bioscience,LY817,248.0,,,,248.0,,420.0,7,Letterkenny Institute of Technology,,,,,,,,,,,,LY
874,Biological and related sciences,Science - Common Entry,LY818,303.0,,,,303.0,,409.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
875,Health,Health Science with Physiotherapy Studies,LY826,456.0,,401.0,,339.0,,445.0,6,Letterkenny Institute of Technology,,,,,,,,,,,,LY
876,Agriculture,Agriculture - Common Entry,LY828,307.0,,,,307.0,,351.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
877,Health,Health Science with Occupational Therapy Studies,LY836,473.0,,408.0,,278.0,,451.0,6,Letterkenny Institute of Technology,,,,,,,,,,,,LY
878,Biological and related sciences,Food Science and Nutrition,LY837,194.0,,194.0,,194.0,,388.0,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
879,Health,Health Science with Dietetics Studies,LY846,316.0,,316.0,,291.0,,462.0,6,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
880,Veterinary,Veterinary Nursing,LY847,367.0,*,367.0,,367.0,,399.0,7,Letterkenny Institute of Technology,,,,,,,,,,,,LY
881,Biological and related sciences,Pharmaceutical & Medicinal Science,LY867,163.0,,163.0,,163.0,,310.0,7,Letterkenny Institute of Technology,,avp,,,,,,,,,,LY
882,Agriculture,Agriculture,LY877,202.0,,181.0,,181.0,,327.0,7,Letterkenny Institute of Technology,,,,,,,,,,,,LY
883,Welfare,"Early Childhood Care, Health and Education",LY906,205.0,,161.0,,161.0,,356.0,6,Letterkenny Institute of Technology,,,,,,,,,,,,LY
884,Health,General Nursing,LY908,400.0,*,,,400.0,*,423.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
885,Health,Health and Social Care,LY916,181.0,,,,181.0,,336.0,6,Letterkenny Institute of Technology,,,,,,,,,,,,LY
886,Health,Psychiatric Nursing,LY918,357.0,*,,,357.0,,387.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
887,Health,Intellectual Disability Nursing,LY928,326.0,*,,,328.0,,346.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
888,Welfare,"Early Childhood Care, Health and Education",LY968,303.0,,,,303.0,,361.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
889,Health,Health & Social Care - Common Entry,LY978,280.0,,,,280.0,,330.0,8,Letterkenny Institute of Technology,,,,,,,,,,,,LY
890,Education,Education - Primary Teaching (Froebel),MH001,507.0,,,,507.0,,531.0,8,Maynooth University,,,,,,,,,,,,MH
891,Education,Education - Primary Teaching - Gaeltacht Applicants (Froebel),MH002,,,,,,,,8,Maynooth University,#,,,,,,,,,,,MH
892,Humanities (except languages),Arts,MH101,318.0,,,,318.0,,388.0,8,Maynooth University,,,,,,,,,,,,MH
893,Arts,Music,MH103,,,,,,,,8,Maynooth University,#,,,,,,,,,,,MH
894,Social and behavioural sciences,Psychology - 3 years,MH106,521.0,,,,521.0,,529.0,8,Maynooth University,,,,,,,,,,,,MH
895,Social and behavioural sciences,Social Science,MH107,346.0,,,,346.0,,388.0,8,Maynooth University,,,,,,,,,,,,MH
896,Arts,Media Studies,MH109,316.0,,,,316.0,,377.0,8,Maynooth University,,,,,,,,,,,,MH
897,Welfare,Community and Youth Work (Full-Time),MH116,,,,,,,,8,Maynooth University,#,,,,,,,,,,,MH
898,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science,MH201,360.0,,,,360.0,,418.0,8,Maynooth University,,,,,,,,,,,,MH
899,Biological and related sciences,Biotechnology,MH202,455.0,,,,455.0,,466.0,8,Maynooth University,,,,,,,,,,,,MH
900,Biological and related sciences,Biological and Geographical Sciences,MH203,430.0,,,,430.0,,465.0,8,Maynooth University,,,,,,,,,,,,MH
901,Physical sciences,Physics with Astrophysics,MH204,422.0,,,,422.0,,479.0,8,Maynooth University,,,,,,,,,,,,MH
902,Mathematics and statistics,Theoretical Physics and Mathematics,MH206,510.0,,,,510.0,,533.0,8,Maynooth University,,,,,,,,,,,,MH
903,Information and Communication Technologies (ICTs),Data Science,MH207,445.0,,,,445.0,,520.0,8,Maynooth University,,,,,,,,,,,,MH
904,Biological and related sciences,Biological and Biomedical Sciences,MH208,498.0,,,,498.0,,510.0,8,Maynooth University,,,,,,,,,,,,MH
905,Social and behavioural sciences,Psychology (through Science) - 4 years,MH209,498.0,,,,498.0,,510.0,8,Maynooth University,,,,,,,,,,,,MH
906,Physical sciences,Pharmaceutical and Biomedical Chemistry,MH210,487.0,,,,487.0,,520.0,8,Maynooth University,,,,,,,,,,,,MH
907,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science or Maths & Computer Science or Maths & Applied Maths (with Ed),MH212,422.0,,,,422.0,,487.0,8,Maynooth University,,,,,,,,,,,,MH
908,Engineering and engineering trades,Engineering (Computer/Electronic/Communications),MH304,333.0,,333.0,,333.0,,444.0,8,Maynooth University,,avp,,,,,,,,,,MH
909,Engineering and engineering trades,Product Design,MH305,357.0,,,,357.0,,409.0,8,Maynooth University,,,,,,,,,,,,MH
910,Engineering and engineering trades,Robotics and Intelligent Devices,MH306,361.0,,,,361.0,,433.0,8,Maynooth University,,,,,,,,,,,,MH
911,Business and administration,Finance (options),MH401,357.0,,,,357.0,,398.0,8,Maynooth University,,,,,,,,,,,,MH
912,Business and administration,Quantitative Finance,MH402,476.0,,,,476.0,,509.0,8,Maynooth University,,,,,,,,,,,,MH
913,Business and administration,Accounting and Finance,MH403,422.0,,,,422.0,,468.0,8,Maynooth University,,,,,,,,,,,,MH
914,Business and administration,Business (options),MH404,430.0,,,,430.0,,454.0,8,Maynooth University,,,,,,,,,,,,MH
915,Business and administration,Equine Business,MH405,357.0,,,,357.0,,408.0,8,Maynooth University,,,,,,,,,,,,MH
916,Business and administration,Business and Accounting,MH407,420.0,,,,420.0,,462.0,8,Maynooth University,,,,,,,,,,,,MH
917,Business and administration,Entrepreneurship,MH411,371.0,,,,371.0,,408.0,8,Maynooth University,,,,,,,,,,,,MH
918,Law,LLB Law - four year Single Major Law programme,MH501,473.0,,,,473.0,,495.0,8,Maynooth University,,,,,,,,,,,,MH
919,Law,Law (options),MH502,451.0,,,,451.0,,473.0,8,Maynooth University,,,,,,,,,,,,MH
920,Information and Communication Technologies (ICTs),Computer Science through Arts (options),MH601,352.0,,,,352.0,,403.0,8,Maynooth University,,,,,,,,,,,,MH
921,Information and Communication Technologies (ICTs),Computer Science through Science (options),MH602,351.0,,,,351.0,,409.0,8,Maynooth University,,,,,,,,,,,,MH
922,Information and Communication Technologies (ICTs),Computational Thinking,MH603,532.0,,,,532.0,,544.0,8,Maynooth University,,,,,,,,,,,,MH
