,Course Code,Course,EOS,Mid,Level,hei_code
190,DB524,Business Information Systems,402.0,402.0,8,DB
191,DB525,Marketing (Digital Media and Cloud Computing),284.0,309.0,8,DB
192,DB526,Business Information Systems (Cloud Computing),253.0,288.0,8,DB
193,DB527,Applied Social Care,235.0,288.0,8,DB
194,DB531,Marketing,220.0,288.0,8,DB
195,DB562,Psychology,208.0,310.0,8,DB
196,DB566,Social Science,216.0,308.0,8,DB
197,DB567,Film,192.0,295.0,8,DB
198,DB568,Law,245.0,308.0,8,DB
199,DB569,Business (Psychology),279.0,338.0,8,DB
200,DC001,Education - Early Childhood Education,398.0,424.0,8,DC
201,DC002,Education - Primary Teaching,462.0,485.0,8,DC
202,DC003,Education - Primary Teaching - Gaeltacht Applicants,433.0,473.0,8,DC
203,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),357.0,,8,DC
204,DC005,Education - Primary Teaching - Irish Sign Language,316.0,316.0,8,DC
205,DC009,Arts (Joint Honours) - Humanities,347.0,408.0,8,DC
206,DC010,Post Primary Teacher Education - Religious Education and English,386.0,413.0,8,DC
207,DC011,Post Primary Teacher Education - Religious Education and History,352.0,389.0,8,DC
208,DC012,Post Primary Teacher Education - Religious Education and Music,367.0,415.0,8,DC
209,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410.0,509.0,8,DC
210,DC014,BA in Jazz and Contemporary Music Performance,428.0,590.0,8,DC
211,DC110,Business Studies International,440.0,462.0,8,DC
212,DC111,Business Studies,463.0,479.0,8,DC
213,DC112,Global Business (France),495.0,510.0,8,DC
214,DC113,Global Business (Germany),440.0,476.0,8,DC
215,DC114,Global Business (Spain),501.0,543.0,8,DC
216,DC115,Accounting and Finance,487.0,500.0,8,DC
217,DC116,Global Business (USA),578.0,589.0,8,DC
218,DC117,Aviation Management / Aviation Management with Pilot Studies,463.0,487.0,8,DC
219,DC118,Gnó agus Gaeilge / Business and Irish,357.0,399.0,8,DC
220,DC119,Global Business (Canada),566.0,577.0,8,DC
221,DC120,Enterprise Computing,350.0,389.0,8,DC
222,DC121,Computer Applications,370.0,418.0,8,DC
223,DC123,Data Science,467.0,511.0,8,DC
224,DC126,Actuarial Mathematics,520.0,543.0,8,DC
225,DC127,Common Entry into Actuarial and Financial Mathematics,509.0,531.0,8,DC
226,DC131,Communication Studies,400.0,441.0,8,DC
227,DC132,Journalism,401.0,440.0,8,DC
228,DC133,Multimedia,403.0,451.0,8,DC
229,DC155,Applied Language and Translation Studies,371.0,430.0,8,DC
230,DC161,Analytical Science,446.0,463.0,8,DC
231,DC162,Chemical and Pharmaceutical Sciences,488.0,498.0,8,DC
232,DC166,Environmental Science and Technology,412.0,442.0,8,DC
233,DC167,Physics with Astronomy,434.0,477.0,8,DC
234,DC168,Genetics and Cell Biology,489.0,500.0,8,DC
235,DC171,Applied Physics,402.0,433.0,8,DC
236,DC173,Physics with Biomedical Sciences,402.0,458.0,8,DC
237,DC181,Biotechnology,476.0,488.0,8,DC
238,DC190,Electronic and Computer Engineering (with choice of four majors),391.0,433.0,8,DC
239,DC193,Mechatronic Engineering,404.0,445.0,8,DC
240,DC195,Mechanical and Manufacturing Engineering,401.0,444.0,8,DC
