,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
89,Information and Communication Technologies (ICTs),Cybercrime and IT Security,CW227,,,,,,,,7,"Institute of Technology, Carlow",,,
90,Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,CW237,,,,,,,,7,"Institute of Technology, Carlow",,,
91,Information and Communication Technologies (ICTs),Software Development,CW238,,,,,,,,8,"Institute of Technology, Carlow",,,
92,Information and Communication Technologies (ICTs),Information Technology Management,CW248,,,,,,,,8,"Institute of Technology, Carlow",,,
93,Information and Communication Technologies (ICTs),Cybercrime and IT Security,CW258,,,,,,,,8,"Institute of Technology, Carlow",,,
94,Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,CW268,,,,,,,,8,"Institute of Technology, Carlow",,,
95,Architecture and construction,Architectural Technology,CW407,,,,,,,,7,"Institute of Technology, Carlow",,,
96,Architecture and construction,Construction Management with Building Services,CW417,,,,,,,,7,"Institute of Technology, Carlow",,,
97,Architecture and construction,Civil Engineering,CW427,,,,,,,,7,"Institute of Technology, Carlow",,,
98,Architecture and construction,Construction (options),CW438,,,,,,,,8,"Institute of Technology, Carlow",,,
99,Architecture and construction,Architectural Technology,CW468,,,,,,,,8,"Institute of Technology, Carlow",,,
100,Architecture and construction,Civil Engineering,CW478,,,,,,,,8,"Institute of Technology, Carlow",,,
101,Engineering and engineering trades,Aircraft Systems,CW507,,,,,,,,7,"Institute of Technology, Carlow",,,
102,Engineering and engineering trades,Mechanical Engineering,CW517,,,,,,,,7,"Institute of Technology, Carlow",,,
103,Engineering and engineering trades,Electronic Engineering,CW527,,,,,,,,7,"Institute of Technology, Carlow",,,
104,Arts,TV and Media Production,CW547,,,,,,,,7,"Institute of Technology, Carlow",,,
105,Engineering and engineering trades,Mechanical Engineering,CW548,,,,,,,,8,"Institute of Technology, Carlow",,,
106,Engineering and engineering trades,Electronic Systems,CW558,,,,,,,,8,"Institute of Technology, Carlow",,,
107,Engineering and engineering trades,Aerospace Engineering,CW568,,,,,,,,8,"Institute of Technology, Carlow",,,
108,Arts,TV and Media Production,CW578,,,,,,,,8,"Institute of Technology, Carlow",,,
109,Law,Legal Studies,CW706,,,,,,,,6,"Institute of Technology, Carlow",,,
110,Arts,Industrial Design,CW707,,,,,,,,7,"Institute of Technology, Carlow",,,
111,Law,Law - LLB,CW708,,,,,,,,8,"Institute of Technology, Carlow",,,
112,Welfare,Professional Social Care Practice,CW717,,,,,,,,7,"Institute of Technology, Carlow",,,
113,Arts,Product Design Innovation,CW728,,,,,,,,8,"Institute of Technology, Carlow",,,
114,Welfare,Early Childhood Education and Care,CW748,,,,,,,,8,"Institute of Technology, Carlow",,,
115,Welfare,Professional Social Care Practice,CW758,,,,,,,,8,"Institute of Technology, Carlow",,,
116,Personal services,Sport Coaching and Business Management - GAA (portfolio),CW807,,,,,,,,7,"Institute of Technology, Carlow",#,,
117,Business and administration,Media and Public Relations,CW808,,,,,,,,8,"Institute of Technology, Carlow",,,
118,Personal services,Sport Coaching and Business Management - Rugby (portfolio),CW817,,,,,,,,7,"Institute of Technology, Carlow",#,,
119,Personal services,Sport Coaching and Business Management - Soccer (portfolio),CW827,,,,,,,,7,"Institute of Technology, Carlow",#,,
120,Business and administration,Digital Marketing with Analytics,CW837,,,,,,,,7,"Institute of Technology, Carlow",,,
121,Business and administration,Digital Marketing with Analytics,CW848,,,,,,,,8,"Institute of Technology, Carlow",,,
122,Personal services,"Sports Management and Coaching (options, portfolio)",CW858,,,,,,,,8,"Institute of Technology, Carlow",#,,
123,Business and administration,Business,CW906,,,,,,,,6,"Institute of Technology, Carlow",,,
124,Business and administration,Business (options),CW908,,,,,,,,8,"Institute of Technology, Carlow",,,
125,Business and administration,Business (options),CW917,,,,,,,,7,"Institute of Technology, Carlow",,,
126,Business and administration,Business with Law,CW926,,,,,,,,6,"Institute of Technology, Carlow",,,
127,Business and administration,Accounting,CW936,,,,,,,,6,"Institute of Technology, Carlow",,,
128,Business and administration,Business with Law,CW938,,,,,,,,8,"Institute of Technology, Carlow",,,
129,Business and administration,Accounting,CW948,,,,,,,,8,"Institute of Technology, Carlow",,,
130,Humanities (except languages),Arts and Humanities,PC402,,,,,,,,7,"Carlow College, St. Patrick`s",,avp,
131,Welfare,Applied Social Studies - Professional Social Care,PC404,,,,,,,,7,"Carlow College, St. Patrick`s",,avp,
132,Social and behavioural sciences,"Social, Political and Community Studies",PC405,,,,,,,,8,"Carlow College, St. Patrick`s",,avp,
133,Humanities (except languages),Arts and Humanities (fulfils Teaching Council requirements),PC410,,,,,,,,8,"Carlow College, St. Patrick`s",,avp,
134,Humanities (except languages),English and History (fulfils Teaching Council requirements),PC411,,,,,,,,8,"Carlow College, St. Patrick`s",,avp,
135,Physical sciences,Applied Physics and Instrumentation,CR001,,,,,,,,7,Cork Institute of Technology,,,
136,Biological and related sciences,Applied Biosciences,CR006,,,,,,,,7,Cork Institute of Technology,,,
137,Physical sciences,Analytical and Pharmaceutical Chemistry,CR007,,,,,,,,7,Cork Institute of Technology,,,
138,Agriculture,Agriculture (Year 1 - 2 days in Clonakilty Agri College and 3 days in CI,CR010,,,,,,,,7,Cork Institute of Technology,,,
139,Information and Communication Technologies (ICTs),Software Development,CR016,,,,,,,,7,Cork Institute of Technology,,,
140,Business and administration,Business (Common Entry),CR021,,,,,,,,7,Cork Institute of Technology,,,
141,Business and administration,Business Administration,CR022,,,,,,,,7,Cork Institute of Technology,,,
142,Welfare,Social Care Work,CR031,,,,,,,,7,Cork Institute of Technology,,,
143,Personal services,Recreation and Leisure Management,CR032,,,,,,,,7,Cork Institute of Technology,,,
144,Welfare,Community Development,CR035,,,,,,,,7,Cork Institute of Technology,,,
145,Personal services,Tourism Management,CR041,,,,,,,,7,Cork Institute of Technology,,avp,
146,Personal services,Hospitality Management,CR042,,,,,,,,7,Cork Institute of Technology,,,
147,Transport services,Automotive Technology and Management,CR046,,,,,,,,7,Cork Institute of Technology,,,
148,Architecture and construction,Civil Engineering,CR051,,,,,,,,7,Cork Institute of Technology,,,
149,Architecture and construction,Construction,CR052,,,,,,,,7,Cork Institute of Technology,,,
150,Arts,Interior Architecture,CR053,,,,,,,,7,Cork Institute of Technology,,,
151,Engineering and engineering trades,Environmental Engineering,CR055,,,,,,,,7,Cork Institute of Technology,,,
152,Engineering and engineering trades,Electronic Engineering,CR061,,,,,,,,7,Cork Institute of Technology,,,
153,Engineering and engineering trades,Electrical Engineering,CR062,,,,,,,,7,Cork Institute of Technology,,,
154,Engineering and engineering trades,Mechanical Engineering,CR071,,,,,,,,7,Cork Institute of Technology,,,
155,Health,Biomedical Engineering,CR075,,,,,,,,7,Cork Institute of Technology,,,
156,Architecture and construction,Architectural Technology,CR090,,,,,,,,7,Cork Institute of Technology,,,
157,Transport services,Nautical Science at National Maritime College of Ireland,CR094,,,,,,,,7,Cork Institute of Technology,,,
158,Engineering and engineering trades,Marine Engineering at National Maritime College of Ireland,CR095,,,,,,,,7,Cork Institute of Technology,,,
159,Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,CR105,,,,,,,,8,Cork Institute of Technology,,,
160,Information and Communication Technologies (ICTs),Software Development,CR106,,,,,,,,8,Cork Institute of Technology,,,
161,Engineering and engineering trades,Mechanical Engineering,CR108,,,,,,,,8,Cork Institute of Technology,,,
162,Architecture and construction,Structural Engineering,CR109,,,,,,,,8,Cork Institute of Technology,,,
163,Transport services,Automotive Business Management and Technology,CR110,,,,,,,,8,Cork Institute of Technology,,,
164,Arts,Creative Digital Media at CIT Crawford College of Art and Design,CR112,,,,,,,,8,Cork Institute of Technology,,,
165,Information and Communication Technologies (ICTs),Computer Systems,CR116,,,,,,,,8,Cork Institute of Technology,,,
166,Arts,Music at CIT Cork School of Music,CR121,,,,,,,,8,Cork Institute of Technology,#,avp,
167,Arts,Popular Music at CIT Cork School of Music,CR125,,,,,,,,8,Cork Institute of Technology,#,avp,
168,Arts,Musical Theatre at CIT Cork School of Music,CR130,,,,,,,,8,Cork Institute of Technology,#,,
169,Business and administration,Business Information Systems,CR150,,,,,,,,8,Cork Institute of Technology,,,
170,Arts,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,,,,,,,,8,Cork Institute of Technology,#,,
171,Arts,Fine Art at CIT Crawford College of Art and Design,CR220,,,,,,,,8,Cork Institute of Technology,#,,
172,Arts,Photography with New Media at CIT Crawford College of Art and Design,CR225,,,,,,,,8,Cork Institute of Technology,#,avp,
173,Physical sciences,Physical Sciences (Common Entry),CR300,,,,,,,,7,Cork Institute of Technology,,,
174,Physical sciences,Physical Sciences (Common Entry),CR305,,,,,,,,8,Cork Institute of Technology,,,
