,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
569,Biological and related sciences,Pharmaceutical Healthcare,TU875,,,,,,,,8,Technological University Dublin,,,
570,Biological and related sciences,Pharmaceutical Science,TU876,,,,,,,,8,Technological University Dublin,,,
571,Physical sciences,Physics Technology,TU877,,,,,,,,8,Technological University Dublin,,avp,
572,Physical sciences,Physics with Energy and Environment,TU878,,,,,,,,8,Technological University Dublin,,,
573,Health,Physics with Medical Physics and Bioengineering,TU879,,,,,,,,8,Technological University Dublin,,,
574,Physical sciences,Physics with Data Science,TU880,,,,,,,,8,Technological University Dublin,,,
575,Manufacturing and processing,Food Innovation,TU881,,,,,,,,8,Technological University Dublin,,,
576,Biological and related sciences,Nutraceuticals in Health and Nutrition,TU882,,,,,,,,8,Technological University Dublin,,,
577,Business and administration,Business (options),TU902,,,,,,,,8,Technological University Dublin,,,
578,Business and administration,Business and Management,TU903,,,,,,,,8,Technological University Dublin,,,
579,Business and administration,Business and Law,TU904,,,,,,,,8,Technological University Dublin,,,
580,Social and behavioural sciences,Economics and Finance,TU905,,,,,,,,8,Technological University Dublin,,,
581,Business and administration,Human Resource Management,TU906,,,,,,,,8,Technological University Dublin,,,
582,Business and administration,Logistics and Supply Chain Management,TU907,,,,,,,,8,Technological University Dublin,,,
583,Business and administration,Accounting,TU910,,,,,,,,8,Technological University Dublin,,,
584,Information and Communication Technologies (ICTs),Business Analytics,TU912,,,,,,,,8,Technological University Dublin,,,
585,Information and Communication Technologies (ICTs),Business Computing,TU914,,,,,,,,8,Technological University Dublin,,,
586,Law,Law (LLB ) with a Language,TU917,,,,,,,,8,Technological University Dublin,,,
587,Law,Law (LLB),TU918,,,,,,,,8,Technological University Dublin,,,
588,Business and administration,Advertising and Marketing Communications,TU919,,,,,,,,8,Technological University Dublin,,,
589,Business and administration,Digital Marketing,TU920,,,,,,,,8,Technological University Dublin,,,
590,Business and administration,Digital Marketing Technologies,TU921,,,,,,,,8,Technological University Dublin,,,
591,Business and administration,Marketing,TU922,,,,,,,,8,Technological University Dublin,,,
592,Business and administration,E-Commerce in Retailing,TU924,,,,,,,,8,Technological University Dublin,,,
593,Business and administration,Retail and Services Management,TU925,,,,,,,,8,Technological University Dublin,,,
594,Business and administration,Business (options),TU932,,,,,,,,8,Technological University Dublin,,,
595,Business and administration,Accounting and Finance (campus options),TU933,,,,,,,,8,Technological University Dublin,,,
596,Personal services,Sports Management and Coaching,TU935,,,,,,,,8,Technological University Dublin,,,
597,Biological and related sciences,Sports Science and Health,TU936,,,,,,,,8,Technological University Dublin,,,
598,Personal services,Botanical Cuisine,TU941,,,,,,,,8,Technological University Dublin,,,
599,Personal services,Culinary Arts,TU942,,,,,,,,8,Technological University Dublin,,,
600,Personal services,Culinary Entrepreneurship,TU943,,,,,,,,8,Technological University Dublin,,,
601,Personal services,Culinary Science,TU944,,,,,,,,8,Technological University Dublin,,,
602,Personal services,International Hospitality and Tourism Management,TU951,,,,,,,,8,Technological University Dublin,,,
603,Personal services,International Hospitality Management,TU952,,,,,,,,8,Technological University Dublin,,,
604,Personal services,Tourism and Digital Marketing,TU953,,,,,,,,8,Technological University Dublin,,,
605,Personal services,Event Management,TU954,,,,,,,,8,Technological University Dublin,,,
606,Personal services,Sports and Leisure Management,TU955,,,,,,,,8,Technological University Dublin,,,
607,Arts,Commercial Modern Music (BIMM - assessment/audition),TU961,,,,,,,,8,Technological University Dublin,#,avp,
608,Arts,"Drama (Performance, audition)",TU962,,,,,,,,8,Technological University Dublin,#,,
609,Arts,Music (audition),TU963,,,,,,,,8,Technological University Dublin,#,avp,
610,Business and administration,International Business and Languages,TU965,,,,,,,,8,Technological University Dublin,,,
611,Arts,Languages and International Tourism,TU967,,,,,,,,8,Technological University Dublin,,,
612,Arts,Design - Visual Communication (portfolio),TU973,,,,,,,,8,Technological University Dublin,#,,
613,Arts,Fine Art (portfolio),TU974,,,,,,,,8,Technological University Dublin,#,,
614,Arts,Interior Design (portfolio),TU975,,,,,,,,8,Technological University Dublin,#,,
615,Arts,Photography (portfolio),TU976,,,,,,,,8,Technological University Dublin,#,,
616,Arts,Creative Industries and Visual Culture,TU978,,,,,,,,8,Technological University Dublin,,,
617,Arts,Creative Digital Media,TU981,,,,,,,,8,Technological University Dublin,,,
618,Arts,Media Production and Digital Arts,TU982,,,,,,,,8,Technological University Dublin,,,
619,Arts,Film and Broadcasting,TU983,,,,,,,,8,Technological University Dublin,,,
620,Information and Communication Technologies (ICTs),Game Design,TU984,,,,,,,,8,Technological University Dublin,,,
621,Journalism and information,Journalism,TU985,,,,,,,,8,Technological University Dublin,,,
622,Education,Early Childhood Care and Education (campus options),TU989,,,,,,,,8,Technological University Dublin,,,
623,Welfare,Applied Social Studies in Social Care,TU991,,,,,,,,8,Technological University Dublin,,,
624,Social and behavioural sciences,Community Development and Youth Work,TU992,,,,,,,,8,Technological University Dublin,,,
625,Education,Early Childhood Education,TU995,,,,,,,,8,Technological University Dublin,,,
626,Social and behavioural sciences,Social Care,TU996,,,,,,,,8,Technological University Dublin,,,
627,Welfare,Applied Social Care,TU997,,,,,,,,8,Technological University Dublin,,,
628,Arts,Music,TR002,,,,*,,*,,8,Trinity College Dublin,#,,
629,Humanities (except languages),History,TR003,,,,*,,,,8,Trinity College Dublin,,,
630,Law,Law,TR004,,*,,,,,,8,Trinity College Dublin,,,
631,Humanities (except languages),Philosophy,TR005,,,,,,,,8,Trinity College Dublin,,,
632,Social and behavioural sciences,Psychology,TR006,,*,,,,*,,8,Trinity College Dublin,,,
633,Health,Clinical Speech and Language Studies,TR007,,*,,,,*,,8,Trinity College Dublin,,,
634,Education,Music Education,TR009,,,,,,,,8,Trinity College Dublin,#,,
635,Social and behavioural sciences,"Philosophy, Political Science, Economics and Sociology",TR015,,*,,*,,*,,8,Trinity College Dublin,,,
636,Languages,Deaf Studies,TR016,,,,,,,,8,Trinity College Dublin,,,
637,Law,Law and French,TR018,,*,,,,*,,8,Trinity College Dublin,,,
638,Law,Law and German,TR019,,,,,,,,8,Trinity College Dublin,,,
639,Humanities (except languages),"Classics, Ancient History and Archaeology",TR021,,,,,,,,8,Trinity College Dublin,,,
640,Languages,Early and Modern Irish,TR022,,,,,,,,8,Trinity College Dublin,,,
641,Languages,English Studies,TR023,,,,*,,,,8,Trinity College Dublin,,,
642,Humanities (except languages),European Studies,TR024,,,,,,,,8,Trinity College Dublin,,,
643,Arts,Drama and Theatre Studies,TR025,,,,,,,,8,Trinity College Dublin,#,,
644,Humanities (except languages),Ancient and Medieval History and Culture,TR028,,,,,,,,8,Trinity College Dublin,,,
645,Mathematics and statistics,Mathematics,TR031,,,,,,,,8,Trinity College Dublin,,,
646,Engineering and engineering trades,Engineering,TR032,,,,,,*,,8,Trinity College Dublin,,,
647,Information and Communication Technologies (ICTs),Computer Science,TR033,,*,,,,,,8,Trinity College Dublin,,,
648,Business and administration,Management Science and Information Systems Studies,TR034,,*,,*,,*,,8,Trinity College Dublin,,,
649,Physical sciences,Theoretical Physics,TR035,,,,*,,,,8,Trinity College Dublin,,,
650,Engineering and engineering trades,Engineering with Management,TR038,,*,,*,,*,,8,Trinity College Dublin,,,
651,Information and Communication Technologies (ICTs),"Computer Science, Linguistics and a Language",TR039,,,,,,,,8,Trinity College Dublin,,,
652,Languages,Middle Eastern and European Languages and Cultures,TR040,,,,,,,,8,Trinity College Dublin,,,
653,Humanities (except languages),Religion,TR041,,,,,,,,8,Trinity College Dublin,,,
654,Arts,Film,TR042,,,,,,,,8,Trinity College Dublin,,,
655,Humanities (except languages),History of Art and Architecture,TR043,,,,,,,,8,Trinity College Dublin,,,
656,Health,Medicine (HPAT required),TR051,,*,,*,,,,8,Trinity College Dublin,#,,
657,Health,Dental Science,TR052,,*,,*,,*,,8,Trinity College Dublin,,,
658,Health,Physiotherapy,TR053,,*,,,,*,,8,Trinity College Dublin,,,
659,Health,Occupational Therapy,TR054,,*,,*,,*,,8,Trinity College Dublin,,,
660,Health,Radiation Therapy,TR055,,,,,,,,8,Trinity College Dublin,,,
661,Health,Human Health and Disease,TR056,,*,,,,,,8,Trinity College Dublin,,,
662,Biological and related sciences,Biological and Biomedical Sciences,TR060,,*,,*,,,,8,Trinity College Dublin,,,
663,Physical sciences,Chemical Sciences,TR061,,,,*,,,,8,Trinity College Dublin,,,
664,Physical sciences,Geography and Geoscience,TR062,,,,,,,,8,Trinity College Dublin,,,
665,Physical sciences,Physical Sciences,TR063,,,,,,,,8,Trinity College Dublin,,,
666,Environment,Environmental Science and Engineering,TR064,,,,,,,,8,Trinity College Dublin,,,
667,Health,Pharmacy,TR072,,*,,*,,*,,8,Trinity College Dublin,,,
668,Business and administration,Global Business,TR080,,*,,,,*,,8,Trinity College Dublin,,,
669,Social and behavioural sciences,"Business, Economic and Social Studies (BESS)",TR081,,,,*,,*,,8,Trinity College Dublin,,,
670,Welfare,Social Studies (Social Work),TR084,,,,*,,*,,8,Trinity College Dublin,,,
671,Business and administration,Business Studies and French,TR085,,,,,,,,8,Trinity College Dublin,,,
672,Business and administration,Business Studies and German,TR086,,,,,,,,8,Trinity College Dublin,,,
673,Business and administration,Business Studies and Russian,TR087,,,,,,,,8,Trinity College Dublin,,,
674,Business and administration,Business Studies and Polish,TR089,,,,,,,,8,Trinity College Dublin,,,
675,Business and administration,Business Studies and Spanish,TR090,,,,,,,,8,Trinity College Dublin,,,
676,Health,General Nursing (Meath and St James`s),TR091,,,,*,,*,,8,Trinity College Dublin,,,
677,Health,General Nursing (Adelaide School of Nursing),TR093,,,,,,,,8,Trinity College Dublin,#,,
678,Health,Mental Health Nursing,TR095,,,,,,,,8,Trinity College Dublin,,,
679,Health,Intellectual Disability Nursing,TR097,,,,,,,,8,Trinity College Dublin,,,
680,Arts,Ancient History and Archaeology/Geography,TR111,,,,,,,,8,Trinity College Dublin,,,
681,Arts,Ancient History and Archaeology/History,TR112,,,,,,,,8,Trinity College Dublin,,,
682,Arts,Ancient History and Archaeology/History of Art and Architecture,TR113,,,,,,,,8,Trinity College Dublin,,,
683,Arts,Ancient History and Archaeology/Modern Language,TR114,,,,,,,,8,Trinity College Dublin,,,
684,Arts,Ancient History and Archaeology/Religion,TR117,,,,,,,,8,Trinity College Dublin,,,
685,Arts,Classical Civilisation/English Literature,TR166,,,,,,,,8,Trinity College Dublin,,,
686,Arts,Classical Civilisation/History of Art and Architecture,TR173,,,,,,,,8,Trinity College Dublin,,,
687,Arts,Classical Civilisation/Modern Language,TR177,,,,,,,,8,Trinity College Dublin,,,
688,Arts,Classical Civilisation/Philosophy,TR179,,,,,,,,8,Trinity College Dublin,,,
689,Information and Communication Technologies (ICTs),Computer Science/Business Studies,TR188,,,,,,,,8,Trinity College Dublin,,,
690,Arts,Economics/Geography,TR198,,,,,,,,8,Trinity College Dublin,,,
691,Arts,Economics/History,TR202,,,,,,,,8,Trinity College Dublin,,,
692,Arts,Economics/Mathematics,TR207,,*,,,,,,8,Trinity College Dublin,,,
693,Arts,Economics/Modern Language,TR208,,,,,,,,8,Trinity College Dublin,,,
694,Arts,Economics/Philosophy,TR209,,,,,,,,8,Trinity College Dublin,,,
695,Arts,Economics/Sociology,TR212,,,,,,,,8,Trinity College Dublin,,,
696,Social and behavioural sciences,Social Policy/Economics,TR214,,,,,,,,8,Trinity College Dublin,,,
697,Arts,Classical Languages/English Literature,TR228,,,,,,,,8,Trinity College Dublin,,,
698,Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/Linguistics,TR230,,,,,,,,8,Trinity College Dublin,,,
699,Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/History of Art and Architecture,TR231,,,,,,,,8,Trinity College Dublin,,,
700,Interdisciplinary programmes and qualifications involving arts and humanities,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,,,,,,,,8,Trinity College Dublin,,,
701,Arts,Classical Languages/Modern Language,TR239,,,,,,,,8,Trinity College Dublin,,,
702,Information and Communication Technologies (ICTs),Computer Science/Geography,TR240,,,,,,,,8,Trinity College Dublin,,,
703,Information and Communication Technologies (ICTs),Computer Science/Linguistics,TR241,,,,,,,,8,Trinity College Dublin,,,
704,Arts,English Literature/History,TR262,,*,,,,,,8,Trinity College Dublin,,,
705,Arts,English Literature/History of Art and Architecture,TR263,,,,,,,,8,Trinity College Dublin,,,
706,Arts,English Literature/Philosophy,TR269,,,,,,,,8,Trinity College Dublin,,,
707,Arts,English Literature/Sociology,TR272,,,,,,,,8,Trinity College Dublin,,,
708,Arts,English Literature/Drama Studies,TR276,,,,,,,,8,Trinity College Dublin,#,,
709,Arts,English Literature/Modern Language,TR277,,,,,,,,8,Trinity College Dublin,,,
710,Arts,Film/Drama Studies,TR311,,,,,,,,8,Trinity College Dublin,#,,
711,Arts,Film/English Literature,TR312,,,,,,,,8,Trinity College Dublin,,,
712,Arts,Film/Music,TR320,,,,,,,,8,Trinity College Dublin,#,,
713,Arts,Geography/History,TR322,,,,,,,,8,Trinity College Dublin,,,
714,Arts,Drama Studies/Modern Language,TR323,,,,,,,,8,Trinity College Dublin,#,,
715,Arts,Film/Modern Language,TR324,,,,,,,,8,Trinity College Dublin,,,
716,Arts,Film/History,TR325,,,,,,,,8,Trinity College Dublin,,,
717,Arts,Geography/Modern Language,TR326,,,,,,,,8,Trinity College Dublin,,,
718,Social and behavioural sciences,Political Science/Geography,TR328,,*,,,,,,8,Trinity College Dublin,,,
719,Arts,Geography/Sociology,TR332,,*,,,,,,8,Trinity College Dublin,,,
720,Arts,History/History of Art and Architecture,TR443,,,,,,,,8,Trinity College Dublin,,,
721,Arts,History/Modern Language,TR447,,,,,,,,8,Trinity College Dublin,,,
722,Arts,History/Philosophy,TR449,,,,,,,,8,Trinity College Dublin,,,
723,Arts,History/Religion,TR454,,,,,,,,8,Trinity College Dublin,,,
724,Arts,History of Art and Architecture/Modern Language,TR455,,,,,,,,8,Trinity College Dublin,,,
725,Social and behavioural sciences,History/Political Science,TR457,,*,,,,,,8,Trinity College Dublin,,,
726,Arts,History of Art and Architecture/Philosophy,TR479,,,,,,,,8,Trinity College Dublin,,,
727,Social and behavioural sciences,Sociology/History of Art and Architecture,TR482,,,,,,,,8,Trinity College Dublin,,,
728,Arts,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,,,,,,,,8,Trinity College Dublin,,,
729,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,,,,,,,,8,Trinity College Dublin,,,
730,Arts,"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,,,,,,,,8,Trinity College Dublin,,,
731,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,,,,,,,,8,Trinity College Dublin,,,
732,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,,,,,,,,8,Trinity College Dublin,#,,
733,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,,,,,,,,8,Trinity College Dublin,,,
734,Business and administration,Business Studies/Law,TR580,,,,,,,,8,Trinity College Dublin,,,
735,Arts,History/Law,TR581,,,,,,,,8,Trinity College Dublin,,,
736,Social and behavioural sciences,Political Science/Law,TR582,,*,,,,,,8,Trinity College Dublin,,,
737,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Linguistics",TR587,,,,,,,,8,Trinity College Dublin,,,
738,Arts,Linguistics/Modern Language,TR588,,,,,,,,8,Trinity College Dublin,,,
739,Arts,Linguistics/Philosophy,TR589,,,,,,,,8,Trinity College Dublin,,,
740,Social and behavioural sciences,"Sociology/Middle Eastern,Jewish and Islamic Civilisations",TR592,,,,,,,,8,Trinity College Dublin,,,
741,Arts,Mathematics/Modern Language,TR597,,,,,,,,8,Trinity College Dublin,,,
742,Arts,Mathematics/Music,TR598,,,,,,,,8,Trinity College Dublin,#,,
743,Arts,Mathematics/Philosophy,TR599,,,,,,,,8,Trinity College Dublin,,,
744,Arts,Music/Philosophy,TR629,,,,,,,,8,Trinity College Dublin,#,,
745,Arts,Music/Drama Studies,TR635,,,,,,,,8,Trinity College Dublin,#,,
746,Arts,Music/Modern Language,TR636,,,,,,,,8,Trinity College Dublin,#,,
747,Arts,Music/Religion,TR638,,,,,,,,8,Trinity College Dublin,#,,
748,Arts,Philosophy/Modern Language,TR639,,,,,,,,8,Trinity College Dublin,,,
749,Arts,Philosophy/Sociology,TR662,,,,,,,,8,Trinity College Dublin,,,
750,Arts,Religion/Classical Civilisation,TR663,,,,,,,,8,Trinity College Dublin,,,
751,Arts,Religion/English Literature,TR664,,,,,,,,8,Trinity College Dublin,,,
752,Arts,Religion/History of Art and Architecture,TR665,,,,,,,,8,Trinity College Dublin,,,
753,Arts,Religion/Modern Language,TR666,,,,,,,,8,Trinity College Dublin,,,
754,Arts,French/Modern Language,TR667,,,,,,,,8,Trinity College Dublin,,,
755,Arts,German/Modern Language,TR668,,,,,,,,8,Trinity College Dublin,,,
756,Arts,Irish/Modern Language,TR669,,,,,,,,8,Trinity College Dublin,,,
757,Arts,Italian/Modern Language,TR670,,,,,,,,8,Trinity College Dublin,,,
758,Arts,Russian/Modern Language,TR671,,,,,,,,8,Trinity College Dublin,,,
759,Arts,Spanish/Modern Language,TR672,,,,,,,,8,Trinity College Dublin,,,
760,Arts,Sociology/Modern Language,TR756,,,,,,,,8,Trinity College Dublin,,,
761,Social and behavioural sciences,Modern Language/Social Policy,TR757,,,,,,,,8,Trinity College Dublin,,,
762,Social and behavioural sciences,Social Policy/Political Science,TR758,,,,,,,,8,Trinity College Dublin,,,
763,Social and behavioural sciences,Sociology/Social Policy,TR759,,*,,,,,,8,Trinity College Dublin,,,
764,Health,Dental Nursing,TR801,,,,,,,,7,Trinity College Dublin,,,
765,Health,Dental Hygiene,TR802,,,,,,,,7,Trinity College Dublin,#,,
766,Health,Dental Technology,TR803,,,,*,,,,7,Trinity College Dublin,#,,
767,Health,Children`s and General Nursing (Integrated),TR911,,*,,,,*,,8,Trinity College Dublin,,,
768,Health,Midwifery,TR913,,,,,,,,8,Trinity College Dublin,,,
769,Architecture and construction,Architecture,DN100,,,,,,,,8,University College Dublin (NUI),,,
770,Architecture and construction,Landscape Architecture,DN120,,,,,,,,8,University College Dublin (NUI),,,
771,Architecture and construction,City Planning and Environmental Policy,DN130,,,,,,,,8,University College Dublin (NUI),,,
772,Engineering and engineering trades,Engineering (Common Entry),DN150,,*,,,,*,,8,University College Dublin (NUI),,,
773,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science (options),DN200,,,,,,,,8,University College Dublin (NUI),,,
774,Information and Communication Technologies (ICTs),Computer Science (Common Entry),DN201,,,,,,,,8,University College Dublin (NUI),,,
775,Mathematics and statistics,Actuarial and Financial Studies,DN230,,*,,*,,,,8,University College Dublin (NUI),,,
776,Environment,Sustainability,DN240,,,,,,,,8,University College Dublin (NUI),,,
777,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Science (options),DN250,,,,,,,,8,University College Dublin (NUI),,,
778,Agriculture,Food Science,DN261,,,,,,,,8,University College Dublin (NUI),,,
779,Health,Human Nutrition,DN262,,,,,,,,8,University College Dublin (NUI),,,
780,Veterinary,Veterinary Medicine - Undergraduate Entry,DN300,,*,,,,*,,8,University College Dublin (NUI),#,,
781,Veterinary,Veterinary Medicine - Graduate Entry (GAMSAT required),DN301,,,,,,,,8,University College Dublin (NUI),#,,
782,Veterinary,Veterinary Nursing,DN310,,,,,,,,8,University College Dublin (NUI),,,
783,Health,Medicine - Undergraduate Entry (HPAT required),DN400,,*,,,,*,,8,University College Dublin (NUI),#,,
784,Health,Medicine - Graduate Entry (GAMSAT required),DN401,,*,,,,*,,8,University College Dublin (NUI),#,,
785,Health,Radiography,DN410,,*,,*,,*,,8,University College Dublin (NUI),,,
786,Health,Radiography - Graduate Entry,DN411,,,,,,,,8,University College Dublin (NUI),,,
787,Health,Physiotherapy,DN420,,*,,*,,*,,8,University College Dublin (NUI),,,
788,Health,Health and Performance Science,DN425,,,,,,,,8,University College Dublin (NUI),,,
789,Business and administration,Sport and Exercise Management,DN430,,,,,,,,8,University College Dublin (NUI),,,
790,Biological and related sciences,"Biomedical, Health and Life Sciences",DN440,,*,,*,,*,,8,University College Dublin (NUI),,,
791,Health,General Nursing,DN450,,*,,,,*,,8,University College Dublin (NUI),,,
792,Health,Children`s and General Nursing (Integrated),DN451,,,,,,,,8,University College Dublin (NUI),,,
793,Health,Midwifery,DN452,,,,*,,,,8,University College Dublin (NUI),,,
794,Health,Mental Health Nursing,DN453,,,,,,*,,8,University College Dublin (NUI),,,
795,Arts,Joint Honours (options),DN520,,,,,,,,8,University College Dublin (NUI),,,
796,Humanities (except languages),Humanities (options),DN530,,,,,,,,8,University College Dublin (NUI),,,
797,Languages,Modern Languages (options),DN541,,,,,,,,8,University College Dublin (NUI),,,
798,Law,Law (options),DN600,,,,*,,,,8,University College Dublin (NUI),,,
799,Business and administration,Business and Law,DN610,,,,,,,,8,University College Dublin (NUI),,,
800,Business and administration,Commerce,DN650,,,,,,*,,8,University College Dublin (NUI),,,
801,Business and administration,Commerce International (options),DN660,,,,*,,,,8,University College Dublin (NUI),,,
802,Business and administration,Economics and Finance,DN670,,*,,,,,,8,University College Dublin (NUI),,,
803,Social and behavioural sciences,Social Sciences (options),DN700,,,,,,,,8,University College Dublin (NUI),,,
804,Social and behavioural sciences,Economics,DN710,,,,*,,,,8,University College Dublin (NUI),,,
805,Social and behavioural sciences,Psychology,DN720,,,,,,,,8,University College Dublin (NUI),,,
806,Social and behavioural sciences,Social Policy and Sociology,DN750,,,,,,,,8,University College Dublin (NUI),,,
807,Business and administration,Business and Management,DK710,,,,,,,,7,Dundalk Institute of Technology,,avp,
808,Business and administration,Business and Technology,DK711,,,,,,,,7,Dundalk Institute of Technology,,avp,
809,Business and administration,Digital Marketing and Public Relations,DK712,,,,,,,,7,Dundalk Institute of Technology,,avp,
810,Information and Communication Technologies (ICTs),Computing,DK721,,,,,,,,7,Dundalk Institute of Technology,,avp,
811,Information and Communication Technologies (ICTs),Augmented and Virtual Reality,DK722,,,,,,,,7,Dundalk Institute of Technology,,avp,
812,Architecture and construction,Building Surveying,DK730,,,,,,,,7,Dundalk Institute of Technology,,,
813,Architecture and construction,Architectural Technology,DK731,,,,,,,,7,Dundalk Institute of Technology,,,
814,Architecture and construction,Construction Management,DK732,,,,,,,,7,Dundalk Institute of Technology,,,
815,Engineering and engineering trades,Engineering - Electrical and Electronic Systems,DK740,,,,,,,,7,Dundalk Institute of Technology,,avp,
816,Engineering and engineering trades,Engineering - Mechanical Engineering,DK742,,,,,,,,7,Dundalk Institute of Technology,,avp,
817,Architecture and construction,Engineering - Civil Engineering,DK744,,,,,,,,7,Dundalk Institute of Technology,,avp,
818,Personal services,Hospitality Management,DK750,,,,,,,,7,Dundalk Institute of Technology,,avp,
819,Personal services,Event Management,DK752,,,,,,,,7,Dundalk Institute of Technology,,avp,
820,Personal services,Culinary Arts,DK753,,,,,,,,7,Dundalk Institute of Technology,,avp,
821,Personal services,"Sport, Exercise and Enterprise",DK763,,,,,,,,7,Dundalk Institute of Technology,,avp,
822,Welfare,Community Youth Work (interview),DK767,,,,,,,,7,Dundalk Institute of Technology,#,avp,
823,Arts,Audio and Music Production,DK768,,,,,,,,7,Dundalk Institute of Technology,,,
824,Arts,Creative Media,DK769,,,,,,,,7,Dundalk Institute of Technology,,,
825,Arts,Theatre and Film Practice,DK770,,,,,,,,7,Dundalk Institute of Technology,,avp,
826,Arts,Musical Theatre (audition),DK771,,,,,,,,7,Dundalk Institute of Technology,#,,
827,Biological and related sciences,Science - Bioscience,DK781,,,,,,,,7,Dundalk Institute of Technology,,,
828,Biological and related sciences,Science - Pharmaceutical Science,DK783,,,,,,,,7,Dundalk Institute of Technology,,,
829,Veterinary,Veterinary Nursing,DK784,,,,,,,,7,Dundalk Institute of Technology,,,
830,Business and administration,Accounting and Finance,DK810,,,,,,,,8,Dundalk Institute of Technology,,avp,
831,Business and administration,Business Studies,DK816,,,,,,,,8,Dundalk Institute of Technology,,avp,
832,Information and Communication Technologies (ICTs),Computing in Games Development,DK820,,,,,,,,8,Dundalk Institute of Technology,,avp,
833,Information and Communication Technologies (ICTs),Computing in Software Development,DK821,,,,,,,,8,Dundalk Institute of Technology,,,
834,Information and Communication Technologies (ICTs),Augmented and Virtual Reality,DK822,,,,,,,,8,Dundalk Institute of Technology,,avp,
835,Architecture and construction,Building Surveying,DK830,,,,,,,,8,Dundalk Institute of Technology,,avp,
836,Architecture and construction,Architectural Technology,DK831,,,,,,,,8,Dundalk Institute of Technology,,avp,
837,Architecture and construction,Construction Management,DK832,,,,,,,,8,Dundalk Institute of Technology,,avp,
838,Engineering and engineering trades,Engineering (Common Entry),DK843,,,,,,,,8,Dundalk Institute of Technology,,avp,
839,Engineering and engineering trades,Mechanical Engineering,DK844,,,,,,,,8,Dundalk Institute of Technology,,avp,
840,Engineering and engineering trades,Electrical and Electronic Engineering,DK845,,,,,,,,8,Dundalk Institute of Technology,,avp,
841,Architecture and construction,Civil Engineering,DK846,,,,,,,,8,Dundalk Institute of Technology,,avp,
842,Personal services,International Tourism Management,DK850,,,,,,,,8,Dundalk Institute of Technology,,avp,
843,Social and behavioural sciences,Arts,DK861,,,,,,,,8,Dundalk Institute of Technology,,avp,
844,Welfare,Social Care,DK862,,,,,,,,8,Dundalk Institute of Technology,,,
845,Arts,Creative Media,DK863,,,,,,,,8,Dundalk Institute of Technology,,,
846,Arts,Film and Television Production,DK864,,,,,,,,8,Dundalk Institute of Technology,,,
847,Arts,Audio and Music Production,DK865,,,,,,,,8,Dundalk Institute of Technology,,,
848,Health,General Nursing,DK870,,*,,*,,,,8,Dundalk Institute of Technology,,,
849,Health,Intellectual Disability Nursing,DK872,,,,,,,,8,Dundalk Institute of Technology,,,
850,Health,Mental Health Nursing,DK874,,,,,,,,8,Dundalk Institute of Technology,,,
851,Welfare,Early Childhood Studies,DK876,,,,,,,,8,Dundalk Institute of Technology,,avp,
852,Health,Midwifery,DK877,,,,,,,,8,Dundalk Institute of Technology,,,
853,Health,Health and Physical Activity,DK880,,,,,,,,8,Dundalk Institute of Technology,,avp,
854,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agriculture (Award options),DK882,,,,,,,,8,Dundalk Institute of Technology,,,
855,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science (Award options),DK883,,,,,,,,8,Dundalk Institute of Technology,,,
856,Agriculture,Sustainable Agriculture,DK884,,,,,,,,8,Dundalk Institute of Technology,,,
857,Manufacturing and processing,Agri-Food Production,DK885,,,,,,,,8,Dundalk Institute of Technology,,,
858,Manufacturing and processing,Biopharmaceutical Science,DK886,,,,,,,,8,Dundalk Institute of Technology,,,
859,Environment,Environmental Science,DK887,,,,,,,,8,Dundalk Institute of Technology,,,
860,Business and administration,Business (Level 6),GA160,,,,,,,,6,Galway-Mayo Institute of Technology,,avp,
861,Business and administration,Business (Level 7),GA170,,,,,,,,7,Galway-Mayo Institute of Technology,,,
862,Information and Communication Technologies (ICTs),Business Information Systems,GA171,,,,,,,,7,Galway-Mayo Institute of Technology,,,
863,Agriculture,Rural Enterprise and Agri-Business,GA172,,,,,,,,7,Galway-Mayo Institute of Technology,,,
864,Business and administration,Marketing and Sales,GA174,,,,,,,,7,Galway-Mayo Institute of Technology,,,
865,Business and administration,Finance,GA175,,,,,,,,7,Galway-Mayo Institute of Technology,,,
866,Business and administration,Business with Entrepreneurship,GA176,,,,,,,,7,Galway-Mayo Institute of Technology,,,
