,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v,hei_code
65,Arts,Art (portfolio),CW038,700.0,,,,700.0,,700.0,8,"Institute of Technology, Carlow",#,,,CW
66,Arts,Visual Communications and Design,CW047,241.0,,,,270.0,,372.0,7,"Institute of Technology, Carlow",,,,CW
67,Information and Communication Technologies (ICTs),Creative Computing and Digital Innovation,CW048,,,,,,,0.0,8,"Institute of Technology, Carlow",,,,CW
68,Arts,Art (portfolio),CW057,700.0,,,,700.0,,700.0,7,"Institute of Technology, Carlow",#,,,CW
69,Personal services,Tourism and Event Management,CW058,292.0,,,,292.0,,356.0,8,"Institute of Technology, Carlow",,,,CW
70,Welfare,Applied Social Studies in Professional Social Care,CW068,250.0,,,,250.0,,306.0,8,"Institute of Technology, Carlow",,,,CW
71,Personal services,Tourism and Event Management,CW077,223.0,,,,223.0,,398.0,7,"Institute of Technology, Carlow",,,,CW
72,Agriculture,Sustainable Farm Management and Agribusiness,CW078,270.0,,,,270.0,,363.0,8,"Institute of Technology, Carlow",,,,CW
73,Information and Communication Technologies (ICTs),Creative Computing and Digital Innovation,CW087,,,,,,,0.0,7,"Institute of Technology, Carlow",,,,CW
74,Arts,Visual Communications and Design,CW088,270.0,,,,270.0,,290.0,8,"Institute of Technology, Carlow",,,,CW
75,Health,Physiology and Health Science,CW106,451.0,,,,451.0,,528.0,6,"Institute of Technology, Carlow",,,,CW
76,Environment,Analytical Science,CW107,261.0,,,,261.0,,466.0,7,"Institute of Technology, Carlow",,,,CW
77,Biological and related sciences,Science (options),CW108,266.0,,,,266.0,,361.0,8,"Institute of Technology, Carlow",,,,CW
78,Health,Pharmacy Technician Studies,CW116,224.0,,,,224.0,,376.0,6,"Institute of Technology, Carlow",,,,CW
79,Environment,Biosciences,CW117,215.0,,,,215.0,,445.0,7,"Institute of Technology, Carlow",,,,CW
80,Biological and related sciences,Science - Applied Biology or Applied Chemistry,CW126,251.0,,,,251.0,,408.0,6,"Institute of Technology, Carlow",,,,CW
81,Manufacturing and processing,Brewing and Distilling,CW128,307.0,,,,307.0,,349.0,8,"Institute of Technology, Carlow",,,,CW
82,Personal services,Sport and Exercise Science,CW138,430.0,,423.0,,423.0,,462.0,8,"Institute of Technology, Carlow",,,,CW
83,Personal services,Strength and Conditioning,CW148,388.0,,,,388.0,,409.0,8,"Institute of Technology, Carlow",,,,CW
84,Health,Sport Rehabilitation and Athletic Therapy,CW188,451.0,,,,451.0,,488.0,8,"Institute of Technology, Carlow",,,,CW
85,Information and Communication Technologies (ICTs),Computing - Applications or Programming,CW206,236.0,,,,236.0,,299.0,6,"Institute of Technology, Carlow",,,,CW
86,Information and Communication Technologies (ICTs),Software Development,CW207,245.0,,,,245.0,,395.0,7,"Institute of Technology, Carlow",,,,CW
87,Information and Communication Technologies (ICTs),Computer Games Development,CW208,272.0,,,,272.0,,333.0,8,"Institute of Technology, Carlow",,,,CW
88,Information and Communication Technologies (ICTs),Information Technology Management,CW217,269.0,,,,269.0,,368.0,7,"Institute of Technology, Carlow",,,,CW
89,Information and Communication Technologies (ICTs),Cybercrime and IT Security,CW227,220.0,,,,220.0,,360.0,7,"Institute of Technology, Carlow",,,,CW
90,Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,CW237,227.0,,,,227.0,,378.0,7,"Institute of Technology, Carlow",,,,CW
91,Information and Communication Technologies (ICTs),Software Development,CW238,295.0,,,,295.0,,387.0,8,"Institute of Technology, Carlow",,,,CW
92,Information and Communication Technologies (ICTs),Information Technology Management,CW248,293.0,,,,293.0,,338.0,8,"Institute of Technology, Carlow",,,,CW
93,Information and Communication Technologies (ICTs),Cybercrime and IT Security,CW258,292.0,,,,292.0,,382.0,8,"Institute of Technology, Carlow",,,,CW
94,Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,CW268,291.0,,,,291.0,,384.0,8,"Institute of Technology, Carlow",,,,CW
95,Architecture and construction,Architectural Technology,CW407,234.0,,,,234.0,,369.0,7,"Institute of Technology, Carlow",,,,CW
96,Architecture and construction,Construction Management with Building Services,CW417,225.0,,205.0,,205.0,,361.0,7,"Institute of Technology, Carlow",,,,CW
97,Architecture and construction,Civil Engineering,CW427,208.0,,,,208.0,,346.0,7,"Institute of Technology, Carlow",,,,CW
98,Architecture and construction,Construction (options),CW438,260.0,,251.0,,251.0,,336.0,8,"Institute of Technology, Carlow",,,,CW
99,Architecture and construction,Architectural Technology,CW468,291.0,,283.0,,283.0,,353.0,8,"Institute of Technology, Carlow",,,,CW
100,Architecture and construction,Civil Engineering,CW478,465.0,,,,465.0,,465.0,8,"Institute of Technology, Carlow",,,,CW
101,Engineering and engineering trades,Aircraft Systems,CW507,293.0,,,,293.0,,408.0,7,"Institute of Technology, Carlow",,,,CW
102,Engineering and engineering trades,Mechanical Engineering,CW517,290.0,,280.0,,280.0,,400.0,7,"Institute of Technology, Carlow",,,,CW
103,Engineering and engineering trades,Electronic Engineering,CW527,226.0,,,,226.0,,371.0,7,"Institute of Technology, Carlow",,,,CW
104,Arts,TV and Media Production,CW547,303.0,,,,303.0,,382.0,7,"Institute of Technology, Carlow",,,,CW
105,Engineering and engineering trades,Mechanical Engineering,CW548,330.0,,328.0,,328.0,,396.0,8,"Institute of Technology, Carlow",,,,CW
