,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
719,Business and administration,Accounting and Finance,LC224,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
720,Business and administration,Marketing and Management,LC225,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
721,Business and administration,Enterprise and Innovation,LC226,,,,,,,,8,Limerick Institute of Technology,,avp,,,,,,,,,
722,Personal services,Sports Development and Coaching,LC228,,,,,,,,6,Limerick Institute of Technology,,,,,,,,,,,
723,Information and Communication Technologies (ICTs),Business with Computing,LC230,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
724,Information and Communication Technologies (ICTs),Software Development,LC233,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
725,Information and Communication Technologies (ICTs),Interactive Digital Media,LC234,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
726,Information and Communication Technologies (ICTs),Internet Systems Development,LC235,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
727,Information and Communication Technologies (ICTs),Internet Systems Development,LC236,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
728,Information and Communication Technologies (ICTs),Computer Networks and Systems Management,LC239,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
729,Architecture and construction,Construction Management,LC241,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
730,Architecture and construction,Property Valuation and Management,LC242,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
731,Architecture and construction,Quantity Surveying,LC243,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
732,Architecture and construction,Built Environment (Common Entry),LC248,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
733,Architecture and construction,Civil Engineering,LC251,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
734,Architecture and construction,Civil Engineering Management,LC252,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
735,Arts,Interior Design,LC257,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
736,Biological and related sciences,Applied Biology,LC260,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
737,Health,Clinical Technology,LC263,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
738,Physical sciences,Forensic and Pharmaceutical Sciences,LC265,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
739,Environment,Drug and Medicinal Product Analysis,LC266,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
740,Physical sciences,Forensic and Pharmaceutical Sciences,LC267,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
741,Health,Medical Technology,LC268,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
742,Arts,Music Technology and Production,LC270,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
743,Engineering and engineering trades,Electrical Engineering,LC271,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
744,Engineering and engineering trades,Electrical Engineering,LC275,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
745,Arts,Creative Broadcast and Film Production,LC276,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
746,Engineering and engineering trades,Industrial Automation and Robotic Systems,LC277,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
747,Engineering and engineering trades,Renewable and Electrical Energy Engineering,LC278,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
748,Engineering and engineering trades,Electronic Engineering,LC279,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
749,Engineering and engineering trades,Automobile Technology,LC281,,,,,,,,6,Limerick Institute of Technology,,,,,,,,,,,
750,Engineering and engineering trades,Precision Engineering,LC283,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
751,Engineering and engineering trades,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",LC284,,,,,,,,6,Limerick Institute of Technology,,,,,,,,,,,
752,Engineering and engineering trades,Mechanical Engineering,LC285,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
753,Engineering and engineering trades,Road Transport Technology and Management,LC286,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
754,Engineering and engineering trades,Mechanical Engineering,LC288,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
755,Engineering and engineering trades,Precision Engineering,LC289,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
756,Personal services,Community Sport Development,LC290,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
757,Welfare,Social Care Work,LC292,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
758,Personal services,Business Studies with Travel and Tourism Management,LC293,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
759,Personal services,Business Studies with Event Management,LC294,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
760,Business and administration,Business Studies with Sports Management,LC295,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
761,Social and behavioural sciences,Community Development,LC297,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
762,Business and administration,Business,LC320,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
763,Information and Communication Technologies (ICTs),Business with Computing,LC330,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
764,Information and Communication Technologies (ICTs),Computing,LC336,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
765,Arts,Interior Design,LC340,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
766,Biological and related sciences,Biotechnology and Biopharmaceutical Sciences,LC362,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
767,Arts,Creative Broadcast and Film Production,LC371,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
768,Arts,Music Technology and Production,LC372,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
769,Engineering and engineering trades,Renewable and Electrical Energy Engineering,LC374,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
770,Engineering and engineering trades,Industrial Automation and Robotic Systems,LC375,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
771,Engineering and engineering trades,Electronic Engineering,LC376,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
772,Transport services,Automotive Engineering and Transport Management,LC380,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
773,Personal services,Business Studies in Beauty and Spa Management,LC392,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
774,Welfare,Early Childhood Education and Care,LC393,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
775,Personal services,Culinary Arts,LC398,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
776,Personal services,Hospitality Supervision,LC399,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
777,Welfare,Early Childhood Education and Care,LC401,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
778,Welfare,Social Care Work,LC402,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
779,Environment,Environmental Science and Climate,LC408,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
780,Information and Communication Technologies (ICTs),Data Analytics and Cyber Security,LC414,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
781,Business and administration,Business,LC415,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
782,Business and administration,Business,LC416,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
783,Information and Communication Technologies (ICTs),Computing - Games Design and Development,LC418,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
784,Personal services,Sports Strength and Conditioning,LC422,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
785,Personal services,Sports Strength and Conditioning,LC423,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
786,Environment,Environmental Science,LC425,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
787,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Environmental Science and Agriculture,LC428,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
788,Welfare,Early Childhood Education and Care,LC432,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
789,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Environmental Science and Agriculture,LC434,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
790,Information and Communication Technologies (ICTs),Game Art and Design (portfolio),LC502,,,,,,,,8,Limerick Institute of Technology,#,,,,,,,,,,
791,Information and Communication Technologies (ICTs),Creative Media and Design,LC504,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
792,Information and Communication Technologies (ICTs),Creative Media and Design,LC517,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
793,Information and Communication Technologies (ICTs),Digital Animation Production (portfolio),LC518,,,,,,,,8,Limerick Institute of Technology,#,,,,,,,,,,
794,Welfare,Social Care Work,LC602,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
795,Welfare,Early Childhood Education and Care,LC603,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
796,Business and administration,Business,LC605,,,,,,,,7,Limerick Institute of Technology,,,,,,,,,,,
797,Welfare,Social Care Work,LC612,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
798,Welfare,Early Childhood Education and Care,LC613,,,,,,,,8,Limerick Institute of Technology,,,,,,,,,,,
799,Humanities (except languages),Arts,LM002,,,,,,,,8,University of Limerick,,,,,,,,,,,
800,Law,Law and Accounting,LM020,,,,,,,,8,University of Limerick,,,,,,,,,,,
801,Arts,Performing Arts (audition required),LM026,,,,,,,,8,University of Limerick,#,,,,,,,,,,
802,Law,Criminal Justice,LM028,,,,,,,,8,University of Limerick,,,,,,,,,,,
803,Law,Law Plus,LM029,,,,,,,,8,University of Limerick,,,,,,,,,,,
804,Social and behavioural sciences,Psychology and Sociology,LM038,,,,,,,,8,University of Limerick,,,,,,,,,,,
805,Journalism and information,Journalism and Digital Communication,LM039,,,,,,,,8,University of Limerick,,,,,,,,,,,
806,Humanities (except languages),European Studies,LM040,,,,,,,,8,University of Limerick,,,,,,,,,,,
807,Languages,Applied Languages,LM044,,,,,,,,8,University of Limerick,,,,,,,,,,,
808,Business and administration,Business Studies (options),LM050,,,,,,,,8,University of Limerick,,,,,,,,,,,
809,Business and administration,International Business,LM056,,,,,,,,8,University of Limerick,,,,,,,,,,,
810,Mathematics and statistics,Financial Mathematics,LM058,,,,,,,,8,University of Limerick,,,,,,,,,,,
811,Information and Communication Technologies (ICTs),Technology Management,LM063,,,,,,,,8,University of Limerick,,,,,,,,,,,
812,Manufacturing and processing,Food Science and Health,LM068,,,,,,,,8,University of Limerick,,,,,,,,,,,
813,Manufacturing and processing,Product Design and Technology (portfolio required),LM076,,,,,,,,8,University of Limerick,#,,,,,,,,,,
814,Engineering and engineering trades,Aeronautical Engineering,LM077,,,,,,,,8,University of Limerick,,,,,,,,,,,
815,Manufacturing and processing,Construction Management and Engineering,LM082,,,,,,,,8,University of Limerick,,,,,,,,,,,
816,Personal services,Sport and Exercise Sciences,LM089,,,,,,,,8,University of Limerick,,,,,,,,,,,
817,Education,Physical Education with concurrent Teacher Education,LM090,,*,,,,*,,8,University of Limerick,,,,,,,,,,,
818,Education,Languages with concurrent Teacher Education,LM091,,,,,,,,8,University of Limerick,,,,,,,,,,,
819,Education,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM092,,,,,,,,8,University of Limerick,,,,,,,,,,,
820,Biological and related sciences,Equine Science,LM093,,,,,,,,8,University of Limerick,,,,,,,,,,,
821,Education,Materials and Architectural Technology with concurrent Teacher Education,LM094,,,,,,,,8,University of Limerick,,,,,,,,,,,
822,Education,Materials and Engineering Technology with concurrent Teacher Education,LM095,,,,,,,,8,University of Limerick,,,,,,,,,,,
823,Education,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM096,,,,,,,,8,University of Limerick,,,,,,,,,,,
824,Mathematics and statistics,Mathematics and Computer Science with concurrent Teacher Education,LM097,,,,,,,,8,University of Limerick,,,,,,,,,,,
825,Architecture and construction,Architecture (portfolio requirement suspended),LM099,,,,,,,,8,University of Limerick,#,,,,,,,,,,
826,Health,Physiotherapy,LM100,,*,,,,*,,8,University of Limerick,,,,,,,,,,,
827,Health,Medicine  - Graduate Entry (GAMSAT required),LM101,,*,,,,*,,8,University of Limerick,#,,,,,,,,,,
828,Social and behavioural sciences,Psychology,LM102,,,,,,,,8,University of Limerick,,,,,,,,,,,
829,Health,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),LM103,,,,,,,,8,University of Limerick,#,,,,,,,,,,
830,Physical sciences,Chemical and Biochemical Engineering,LM115,,,,,,,,8,University of Limerick,,,,,,,,,,,
831,Engineering and engineering trades,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM116,,*,,,,*,,8,University of Limerick,,,,,,,,,,,
832,Engineering and engineering trades,Electronic and Computer Engineering,LM118,,,,,,,,8,University of Limerick,,,,,,,,,,,
833,Information and Communication Technologies (ICTs),Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM121,,,,,,,,8,University of Limerick,,,,,,,,,,,
834,Information and Communication Technologies (ICTs),Creative Media and Interaction Design (Digital Design/Music Media Tech),LM122,,,,,,,,8,University of Limerick,,,,,,,,,,,
835,Biological and related sciences,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),LM123,,*,,,,*,,8,University of Limerick,,,,,,,,,,,
836,Mathematics and statistics,Mathematics (Math Science/Maths and Physics/Economics and Maths),LM124,,,,,,,,8,University of Limerick,,,,,,,,,,,
837,Physical sciences,Physics (Applied Physics or Mathematics & Physics),LM125,,,,,,,,8,University of Limerick,,,,,,,,,,,
838,Health,General Nursing,LM150,,*,,,,*,,8,University of Limerick,,,,,,,,,,,
839,Health,Mental Health Nursing,LM152,,*,,,,*,,8,University of Limerick,,,,,,,,,,,
840,Health,Intellectual Disability Nursing,LM154,,,,,,,,8,University of Limerick,,,,,,,,,,,
841,Health,Midwifery,LM156,,,,,,,,8,University of Limerick,,,,,,,,,,,
842,Biological and related sciences,Equine Science,LM180,,,,,,,,6,University of Limerick,,,,,,,,,,,
843,Business and administration,Business - Common Entry,LY107,,,,,,,,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
844,Business and administration,Business - Accounting,LY108,,,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
845,Business and administration,Business,LY118,,,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
846,Personal services,Sports Studies,LY206,,,,,,,,6,Letterkenny Institute of Technology,,avp,,,,,,,,,
847,Law,Law with Criminal Justice,LY207,,,,,,,,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
848,Law,Law,LY208,,,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
849,Personal services,Sports and Exercise - Common Entry,LY228,,,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
850,Personal services,Culinary Arts,LY317,,,,,,,,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
851,Personal services,Hospitality And Tourism - Common Entry,LY327,,,,,,,,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
852,Arts,Design - Common Entry,LY408,,,,,,,,8,Letterkenny Institute of Technology,#,,,,,,,,,,
853,Arts,Digital Film and Video,LY427,,,,,,,,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
854,Arts,Animation,LY437,,,,,,,,7,Letterkenny Institute of Technology,#,avp,,,,,,,,,
855,Arts,Fashion with Promotion,LY447,,,,,,,,7,Letterkenny Institute of Technology,#,avp,,,,,,,,,
856,Arts,Graphic and Digital Design,LY457,,,,,,,,7,Letterkenny Institute of Technology,#,avp,v,,,,,,,,
857,Architecture and construction,Quantity Surveying,LY507,,,,,,,,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
858,Architecture and construction,Fire Safety Engineering,LY508,,,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
859,Architecture and construction,Quantity Surveying,LY518,,,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
860,Architecture and construction,Civil Engineering,LY527,,,,,,,,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
861,Architecture and construction,Construction Management,LY528,,,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
862,Engineering and engineering trades,Electronic Engineering,LY607,,,,,,,,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
863,Engineering and engineering trades,Mechanical Engineering,LY608,,,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
864,Engineering and engineering trades,Mechanical Engineering,LY617,,,,,,,,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
865,Engineering and engineering trades,Electronic Engineering,LY618,,,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
866,Information and Communication Technologies (ICTs),Computer Games Development,LY707,,,,,,,,7,Letterkenny Institute of Technology,,,,,,,,,,,
867,Information and Communication Technologies (ICTs),Applied Computing,LY708,,,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
868,Information and Communication Technologies (ICTs),Computing,LY717,,,,,,,,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
869,Information and Communication Technologies (ICTs),Computer Security and Digital Forensics,LY737,,,,,,,,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
870,Information and Communication Technologies (ICTs),Computer Science,LY748,,,,,,,,8,Letterkenny Institute of Technology,,avp,,,,,,,,,
871,Health,Pharmacy Technician,LY806,,,,,,,,6,Letterkenny Institute of Technology,,,,,,,,,,,
872,Health,Dental Nursing,LY816,,,,,,,,6,Letterkenny Institute of Technology,,,,,,,,,,,
873,Biological and related sciences,Bioscience,LY817,,,,,,,,7,Letterkenny Institute of Technology,,,,,,,,,,,
874,Biological and related sciences,Science - Common Entry,LY818,,,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
875,Health,Health Science with Physiotherapy Studies,LY826,,,,,,,,6,Letterkenny Institute of Technology,,,,,,,,,,,
876,Agriculture,Agriculture - Common Entry,LY828,,,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
877,Health,Health Science with Occupational Therapy Studies,LY836,,,,,,,,6,Letterkenny Institute of Technology,,,,,,,,,,,
878,Biological and related sciences,Food Science and Nutrition,LY837,,,,,,,,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
879,Health,Health Science with Dietetics Studies,LY846,,,,,,,,6,Letterkenny Institute of Technology,,avp,,,,,,,,,
880,Veterinary,Veterinary Nursing,LY847,,*,,,,,,7,Letterkenny Institute of Technology,,,,,,,,,,,
881,Biological and related sciences,Pharmaceutical & Medicinal Science,LY867,,,,,,,,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
882,Agriculture,Agriculture,LY877,,,,,,,,7,Letterkenny Institute of Technology,,,,,,,,,,,
883,Welfare,"Early Childhood Care, Health and Education",LY906,,,,,,,,6,Letterkenny Institute of Technology,,,,,,,,,,,
884,Health,General Nursing,LY908,,*,,,,*,,8,Letterkenny Institute of Technology,,,,,,,,,,,
885,Health,Health and Social Care,LY916,,,,,,,,6,Letterkenny Institute of Technology,,,,,,,,,,,
886,Health,Psychiatric Nursing,LY918,,*,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
887,Health,Intellectual Disability Nursing,LY928,,*,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
888,Welfare,"Early Childhood Care, Health and Education",LY968,,,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
889,Health,Health & Social Care - Common Entry,LY978,,,,,,,,8,Letterkenny Institute of Technology,,,,,,,,,,,
890,Education,Education - Primary Teaching (Froebel),MH001,,,,,,,,8,Maynooth University,,,,,,,,,,,
891,Education,Education - Primary Teaching - Gaeltacht Applicants (Froebel),MH002,,,,,,,,8,Maynooth University,#,,,,,,,,,,
892,Humanities (except languages),Arts,MH101,,,,,,,,8,Maynooth University,,,,,,,,,,,
893,Arts,Music,MH103,,,,,,,,8,Maynooth University,#,,,,,,,,,,
894,Social and behavioural sciences,Psychology - 3 years,MH106,,,,,,,,8,Maynooth University,,,,,,,,,,,
895,Social and behavioural sciences,Social Science,MH107,,,,,,,,8,Maynooth University,,,,,,,,,,,
896,Arts,Media Studies,MH109,,,,,,,,8,Maynooth University,,,,,,,,,,,
897,Welfare,Community and Youth Work (Full-Time),MH116,,,,,,,,8,Maynooth University,#,,,,,,,,,,
898,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science,MH201,,,,,,,,8,Maynooth University,,,,,,,,,,,
899,Biological and related sciences,Biotechnology,MH202,,,,,,,,8,Maynooth University,,,,,,,,,,,
900,Biological and related sciences,Biological and Geographical Sciences,MH203,,,,,,,,8,Maynooth University,,,,,,,,,,,
901,Physical sciences,Physics with Astrophysics,MH204,,,,,,,,8,Maynooth University,,,,,,,,,,,
902,Mathematics and statistics,Theoretical Physics and Mathematics,MH206,,,,,,,,8,Maynooth University,,,,,,,,,,,
903,Information and Communication Technologies (ICTs),Data Science,MH207,,,,,,,,8,Maynooth University,,,,,,,,,,,
904,Biological and related sciences,Biological and Biomedical Sciences,MH208,,,,,,,,8,Maynooth University,,,,,,,,,,,
905,Social and behavioural sciences,Psychology (through Science) - 4 years,MH209,,,,,,,,8,Maynooth University,,,,,,,,,,,
906,Physical sciences,Pharmaceutical and Biomedical Chemistry,MH210,,,,,,,,8,Maynooth University,,,,,,,,,,,
907,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science or Maths & Computer Science or Maths & Applied Maths (with Ed),MH212,,,,,,,,8,Maynooth University,,,,,,,,,,,
908,Engineering and engineering trades,Engineering (Computer/Electronic/Communications),MH304,,,,,,,,8,Maynooth University,,avp,,,,,,,,,
909,Engineering and engineering trades,Product Design,MH305,,,,,,,,8,Maynooth University,,,,,,,,,,,
910,Engineering and engineering trades,Robotics and Intelligent Devices,MH306,,,,,,,,8,Maynooth University,,,,,,,,,,,
911,Business and administration,Finance (options),MH401,,,,,,,,8,Maynooth University,,,,,,,,,,,
912,Business and administration,Quantitative Finance,MH402,,,,,,,,8,Maynooth University,,,,,,,,,,,
913,Business and administration,Accounting and Finance,MH403,,,,,,,,8,Maynooth University,,,,,,,,,,,
914,Business and administration,Business (options),MH404,,,,,,,,8,Maynooth University,,,,,,,,,,,
915,Business and administration,Equine Business,MH405,,,,,,,,8,Maynooth University,,,,,,,,,,,
916,Business and administration,Business and Accounting,MH407,,,,,,,,8,Maynooth University,,,,,,,,,,,
917,Business and administration,Entrepreneurship,MH411,,,,,,,,8,Maynooth University,,,,,,,,,,,
918,Law,LLB Law - four year Single Major Law programme,MH501,,,,,,,,8,Maynooth University,,,,,,,,,,,
919,Law,Law (options),MH502,,,,,,,,8,Maynooth University,,,,,,,,,,,
920,Information and Communication Technologies (ICTs),Computer Science through Arts (options),MH601,,,,,,,,8,Maynooth University,,,,,,,,,,,
921,Information and Communication Technologies (ICTs),Computer Science through Science (options),MH602,,,,,,,,8,Maynooth University,,,,,,,,,,,
922,Information and Communication Technologies (ICTs),Computational Thinking,MH603,,,,,,,,8,Maynooth University,,,,,,,,,,,
923,Education,Early Childhood - Teaching and Learning (part-time),MH801,,,,,,,,8,Maynooth University,,,,,,,,,,,
924,Welfare,"Community and Youth Work (part-time, in service)",MH802,,,,,,,,8,Maynooth University,#,avp,,,,,,,,,
925,Social and behavioural sciences,"Local Studies/Community Studies (part-time, evening) - Mature Students",MH803,,,,,,,,8,Maynooth University,#,avp,,,,,,,,,
926,Arts,Contemporary & Applied Theatre Studies,MI001,,,,,,,,8,Mary Immaculate College,,,,,,,,,,,
927,Arts,Arts,MI002,,,,,,,,8,Mary Immaculate College,,,,,,,,,,,
928,Education,Education - Primary Teaching - International,MI004,,,,,,,,8,Mary Immaculate College,,,,,,,,,,,
929,Education,Education - Primary Teaching,MI005,,,,,,,,8,Mary Immaculate College,,,,,,,,,,,
930,Education,Education - Primary Teaching - Gaeltacht Applicants,MI006,,,,,,,,8,Mary Immaculate College,#,,,,,,,,,,
931,Education,Early Childhood Care and Education,MI007,,,,,,,,8,Mary Immaculate College,,,,,,,,,,,
932,Education,Education and Psychology - Primary Teaching,MI008,,,,,,,,8,Mary Immaculate College,,,,,,,,,,,
933,Education,"Education, Business Studies and Accounting",MI009,,,,,,,,8,Mary Immaculate College,,,,,,,,,,,
934,Education,"Education, Business Studies and Religious Studies",MI010,,,,,,,,8,Mary Immaculate College,,,,,,,,,,,
935,Education,"Education, Gaeilge and Religious Studies",MI011,,,,,,,,8,Mary Immaculate College,,,,,,,,,,,
936,Education,"Education, Gaeilge and Business Studies",MI012,,,,,,,,8,Mary Immaculate College,,,,,,,,,,,
937,Education,"Education, Mathematics and Gaeilge",MI013,,,,,,,,8,Mary Immaculate College,,,,,,,,,,,
938,Education,"Education, Mathematics and Business Studies",MI014,,,,,,,,8,Mary Immaculate College,,,,,,,,,,,
939,Interdisciplinary programmes and qualifications involving arts and humanities,Theology and Arts,MU001,,,,,,,,8,"Pontifical University, St Patrick's College",,avp,,,,,,,,,
940,Interdisciplinary programmes and qualifications involving arts and humanities,Theology,MU002,,,,,,,,8,"Pontifical University, St Patrick's College",,avp,,,,,,,,,
941,Information and Communication Technologies (ICTs),Computing (Degree Award options),NC003,,,,,,,,8,National College of Ireland (NCI),,,,,,,,,,,
942,Business and administration,Human Resource Management,NC005,,,,,,,,8,National College of Ireland (NCI),,,,,,,,,,,
943,Business and administration,Business,NC009,,,,,,,,8,National College of Ireland (NCI),,,,,,,,,,,
944,Social and behavioural sciences,Psychology,NC010,,,,,,,,8,National College of Ireland (NCI),,,,,,,,,,,
945,Business and administration,Marketing Practice,NC020,,,,,,,,8,National College of Ireland (NCI),,,,,,,,,,,
946,Business and administration,Accounting and Finance,NC022,,,,,,,,8,National College of Ireland (NCI),,,,,,,,,,,
947,Information and Communication Technologies (ICTs),Technology Management (with specialisations),NC023,,,,,,,,8,National College of Ireland (NCI),,,,,,,,,,,
948,Information and Communication Technologies (ICTs),Computing,NC102,,,,,,,,6,National College of Ireland (NCI),,,,,,,,,,,
949,Business and administration,Business,NC103,,,,,,,,6,National College of Ireland (NCI),,,,,,,,,,,
950,Information and Communication Technologies (ICTs),Business Computing,NC104,,,,,,,,6,National College of Ireland (NCI),,,,,,,,,,,
951,Education,Montessori Education,NM701,,,,,,,,7,St Nicholas Montessori College Ireland,,,,,,,,,,,
952,Education,Montessori Education,NM801,,,,,,,,8,St Nicholas Montessori College Ireland,,,,,,,,,,,
953,Humanities (except languages),Arts and Humanities,PC402,,,,,,,,7,"Carlow College, St. Patrick`s",,avp,,,,,,,,,
954,Welfare,Applied Social Studies - Professional Social Care,PC404,,,,,,,,7,"Carlow College, St. Patrick`s",,,,,,,,,,,
955,Social and behavioural sciences,"Social, Political and Community Studies",PC405,,,,,,,,8,"Carlow College, St. Patrick`s",,avp,,,,,,,,,
956,Humanities (except languages),Arts and Humanities (fulfils Teaching Council requirements),PC410,,,,,,,,8,"Carlow College, St. Patrick`s",,avp,,,,,,,,,
957,Humanities (except languages),English and History (fulfils Teaching Council requirements),PC411,,,,,,,,8,"Carlow College, St. Patrick`s",,avp,,,,,,,,,
958,Health,Medicine - Undergraduate Entry (HPAT required),RC001,,,,,,,,8,RCSI University of Medicine & Health Sciences,#,,,,,,,,,,
959,Health,Physiotherapy,RC004,,,,,,,,8,RCSI University of Medicine & Health Sciences,,,,,,,,,,,
960,Health,Pharmacy,RC005,,,,,,*,,8,RCSI University of Medicine & Health Sciences,,,,,,,,,,,
961,Health,Medicine - Graduate Entry (GAMSAT required),RC101,,,,,,,,8,RCSI University of Medicine & Health Sciences,#,,,,,,,,,,
