,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
130,Physical sciences,Industrial Physics - Offered jointly by UCC and CIT,CK409,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
131,Information and Communication Technologies (ICTs),Data Science and Analytics,CK411,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
132,Agriculture,Agricultural Science,CK412,,*,,*,,*,,8,University College Cork (NUI),,,,,,,,,,,
133,Biological and related sciences,Nutritional Sciences,CK504,,,,,,*,,8,University College Cork (NUI),,,,,,,,,,,
134,Manufacturing and processing,Food Science,CK505,,,,*,,,,8,University College Cork (NUI),,,,,,,,,,,
135,Engineering and engineering trades,Engineering,CK600,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
136,Architecture and construction,Architecture - Offered jointly by UCC and CIT,CK606,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
137,Health,Medicine (Undergraduate Entry - HPAT required),CK701,,,,,,,,8,University College Cork (NUI),#,,,,,,,,,,
138,Health,Dentistry,CK702,,*,,*,,*,,8,University College Cork (NUI),,,,,,,,,,,
139,Health,Pharmacy,CK703,,,,*,,*,,8,University College Cork (NUI),,,,,,,,,,,
140,Health,Occupational Therapy,CK704,,,,*,,*,,8,University College Cork (NUI),,,,,,,,,,,
141,Health,Speech and Language Therapy,CK705,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
142,Health,Public Health Sciences,CK706,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
143,Health,Medical and Health Sciences,CK707,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
144,Health,General Nursing,CK710,,*,,,,*,,8,University College Cork (NUI),,,,,,,,,,,
145,Health,Children`s and General Nursing (Integrated),CK712,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
146,Health,Mental Health Nursing,CK720,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
147,Health,Intellectual Disability Nursing,CK730,,,,,,,,8,University College Cork (NUI),,,,,,,,,,,
148,Health,Midwifery,CK740,,,,,,*,,8,University College Cork (NUI),,,,,,,,,,,
149,Health,Medicine  - Graduate Entry (GAMSAT required),CK791,,*,,,,*,,8,University College Cork (NUI),#,,,,,,,,,,
150,Education,Education - Primary Teaching,CM001,,*,,,,*,,8,Marino Institute of Education,,,,,,,,,,,
151,Education,Education - Primary Teaching - Gaeltacht Applicants,CM002,,,,,,,,8,Marino Institute of Education,#,,,,,,,,,,
152,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM003,,,,,,,,8,Marino Institute of Education,#,,,,,,,,,,
153,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM004,,,,,,,,8,Marino Institute of Education,#,,,,,,,,,,
154,Education,Education Studies,CM010,,,,,,,,8,Marino Institute of Education,,avp,,,,,,,,,
155,Education,Early Childhood Education,CM020,,,,,,,,8,Marino Institute of Education,,,,,,,,,,,
156,Physical sciences,Applied Physics and Instrumentation,CR001,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
157,Biological and related sciences,Applied Biosciences,CR006,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
158,Physical sciences,Analytical and Pharmaceutical Chemistry,CR007,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
159,Agriculture,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),CR010,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
160,Information and Communication Technologies (ICTs),Software Development,CR016,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
161,Business and administration,Business (Common Entry),CR021,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
162,Business and administration,Business Administration,CR022,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
163,Welfare,Social Care Work,CR031,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
164,Personal services,Recreation and Leisure Management,CR032,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
165,Welfare,Community Development,CR035,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
166,Personal services,Tourism Management,CR041,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
167,Personal services,Hospitality Management,CR042,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
168,Transport services,Automotive Technology and Management,CR046,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
169,Architecture and construction,Civil Engineering,CR051,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
170,Architecture and construction,Construction,CR052,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
171,Arts,Interior Architecture,CR053,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
172,Engineering and engineering trades,Environmental Engineering,CR055,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
173,Engineering and engineering trades,Electronic Engineering,CR061,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
174,Engineering and engineering trades,Electrical Engineering,CR062,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
175,Engineering and engineering trades,Mechanical Engineering,CR071,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
176,Health,Biomedical Engineering,CR075,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
177,Architecture and construction,Architectural Technology,CR090,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
178,Transport services,Nautical Science at National Maritime College of Ireland,CR094,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
179,Engineering and engineering trades,Marine Engineering at National Maritime College of Ireland,CR095,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
180,Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,CR105,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
181,Information and Communication Technologies (ICTs),Software Development,CR106,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
182,Engineering and engineering trades,Mechanical Engineering,CR108,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
183,Architecture and construction,Structural Engineering,CR109,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
184,Transport services,Automotive Business Management and Technology,CR110,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
185,Arts,Creative Digital Media,CR112,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
186,Information and Communication Technologies (ICTs),Computer Systems,CR116,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
187,Arts,Music at CIT Cork School of Music,CR121,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,
188,Arts,Popular Music: Electric Bass Guitar at CIT Cork School of Music,CR125,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,
189,Arts,Popular Music: Drums at CIT Cork School of Music,CR126,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,
190,Arts,Popular Music: Electric Guitar at CIT Cork School of Music,CR127,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,
191,Arts,Popular Music: Keyboards at CIT Cork School of Music,CR128,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,
192,Arts,Popular Music: Voice at CIT Cork School of Music,CR129,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,
193,Arts,Musical Theatre at CIT Cork School of Music,CR130,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,
194,Business and administration,Business Information Systems,CR150,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
195,Arts,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,
196,Arts,Fine Art at CIT Crawford College of Art and Design,CR220,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,
197,Arts,Photography with New Media,CR225,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,
198,Physical sciences,Physical Sciences (Common Entry),CR300,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
199,Physical sciences,Physical Sciences (Common Entry),CR305,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
200,Information and Communication Technologies (ICTs),IT Management,CR310,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
201,Biological and related sciences,Biomedical Science - Offered jointly by CIT and UCC,CR320,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
202,Biological and related sciences,Pharmaceutical Biotechnology,CR325,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
203,Health,Nutrition and Health Science,CR333,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
204,Biological and related sciences,Biological Sciences (Common Entry),CR335,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
205,Physical sciences,Analytical Chemistry with Quality Assurance,CR340,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
206,Physical sciences,Instrument Engineering,CR360,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
207,Environment,Environmental Science and Sustainable Technology,CR365,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
208,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,CR370,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
209,Business and administration,Accounting,CR400,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
210,Business and administration,Marketing,CR420,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
211,Business and administration,International Business with Language,CR425,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
212,Personal services,Sport and Exercise Management,CR430,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
213,Education,Montessori Education,CR440,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
214,Engineering and engineering trades,Engineering (Common Entry),CR500,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
215,Environment,Sustainable Energy Engineering,CR510,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
216,Health,Biomedical Engineering,CR520,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
217,Architecture and construction,Architectural Technology,CR560,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
218,Architecture and construction,Interior Architecture,CR565,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
219,Architecture and construction,Quantity Surveying,CR570,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
220,Architecture and construction,Construction Management,CR572,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
